id;cpath;mgeom;lat;lon
4000011;3319;LINESTRING(11.6218935442 48.1606182382,11.6218935442 48.1606182382);48.1606182382;11.6218935442
4000012;3319;LINESTRING(11.6218839722 48.1606086858,11.6218839722 48.1606086858);48.1606086858;11.6218839722
4001011;34519;LINESTRING(11.5948761555 48.1876696115,11.5948761555 48.1876696115);48.1876696115;11.5948761555
4001012;34519;LINESTRING(11.5948819914 48.1876689904,11.5948819914 48.1876689904);48.1876689904;11.5948819914
4001013;34891;LINESTRING(11.5948994597 48.1877638781,11.5948994597 48.1877638781);48.1877638781;11.5948994597
4001014;34891;LINESTRING(11.5949051634 48.1877632618,11.5949051634 48.1877632618);48.1877632618;11.5949051634
4003011;35775;LINESTRING(11.6061630899 48.156416595,11.6061630899 48.156416595);48.156416595;11.6061630899
4003012;35775;LINESTRING(11.606165455 48.156415655,11.606165455 48.156415655);48.156415655;11.606165455
4004011;6265;LINESTRING(11.59633366 48.1635112418,11.59633366 48.1635112418);48.1635112418;11.59633366
4004012;6265;LINESTRING(11.5963266607 48.163524429,11.5963266607 48.163524429);48.163524429;11.5963266607
4005011;7142;LINESTRING(11.5928613469 48.1754924001,11.5928613469 48.1754924001);48.1754924001;11.5928613469
4005012;7142;LINESTRING(11.5928654447 48.1754905848,11.5928654447 48.1754905848);48.1754905848;11.5928654447
4005013;34651;LINESTRING(11.5929111996 48.1755851648,11.5929111996 48.1755851648);48.1755851648;11.5929111996
4005014;34651;LINESTRING(11.5929435939 48.1755722092,11.5929435939 48.1755722092);48.1755722092;11.5929435939
4005015;34651;LINESTRING(11.5929383371 48.1755742267,11.5929383371 48.1755742267);48.1755742267;11.5929383371
4005016;34651;LINESTRING(11.5929330803 48.1755762442,11.5929330803 48.1755762442);48.1755762442;11.5929330803
4006011;2679;LINESTRING(11.5704485297 48.1873731022,11.5704485297 48.1873731022);48.1873731022;11.5704485297
4006012;2679;LINESTRING(11.5704180347 48.1873720915,11.5704180347 48.1873720915);48.1873720915;11.5704180347
4006021;3758;LINESTRING(11.5703003678 48.1874672209,11.5703003678 48.1874672209);48.1874672209;11.5703003678
4006022;3758;LINESTRING(11.5704054104 48.1874707209,11.5704054104 48.1874707209);48.1874707209;11.5704054104
4007013;28675;LINESTRING(11.560803647 48.1867878538,11.560803647 48.1867878538);48.1867878538;11.560803647
4007014;28675;LINESTRING(11.5608016164 48.1867876722,11.5608016164 48.1867876722);48.1867876722;11.5608016164
4007015;28675;LINESTRING(11.5608020856 48.1867877141,11.5608020856 48.1867877141);48.1867877141;11.5608020856
4009011;25987;LINESTRING(11.5403516269 48.1830663783,11.5403516269 48.1830663783);48.1830663783;11.5403516269
4009012;25987;LINESTRING(11.5403767266 48.1831466767,11.5403767266 48.1831466767);48.1831466767;11.5403767266
4009021;10359;LINESTRING(11.5405385367 48.1831183883,11.5405385367 48.1831183883);48.1831183883;11.5405385367
4009022;10359;LINESTRING(11.5405162112 48.1830470911,11.5405162112 48.1830470911);48.1830470911;11.5405162112
4010011;35414;LINESTRING(11.5803648153 48.1069363449,11.5803648153 48.1069363449);48.1069363449;11.5803648153
4010012;35414;LINESTRING(11.580358448 48.1069451419,11.580358448 48.1069451419);48.1069451419;11.580358448
4010013;35414;LINESTRING(11.5803484742 48.1069589216,11.5803484742 48.1069589216);48.1069589216;11.5803484742
4010014;35414;LINESTRING(11.5803429351 48.1069665743,11.5803429351 48.1069665743);48.1069665743;11.5803429351
4010021;322;LINESTRING(11.5801578027 48.1068912112,11.5801578027 48.1068912112);48.1068912112;11.5801578027
4010022;323;LINESTRING(11.5801741025 48.1069003811,11.5801741025 48.1069003811);48.1069003811;11.5801741025
4010023;323;LINESTRING(11.5801905239 48.1068856556,11.5801905239 48.1068856556);48.1068856556;11.5801905239
4010024;323;LINESTRING(11.5801980508 48.1068789059,11.5801980508 48.1068789059);48.1068789059;11.5801980508
4012011;1326;LINESTRING(11.5245191973 48.1279232108,11.5245191973 48.1279232108);48.1279232108;11.5245191973
4012012;1326;LINESTRING(11.5245021604 48.1279127012,11.5245021604 48.1279127012);48.1279127012;11.5245021604
4012013;1326;LINESTRING(11.5244917087 48.1279062537,11.5244917087 48.1279062537);48.1279062537;11.5244917087
4012014;359;LINESTRING(11.524383536 48.1279982699,11.524383536 48.1279982699);48.1279982699;11.524383536
4012015;359;LINESTRING(11.5243980661 48.1280074672,11.5243980661 48.1280074672);48.1280074672;11.5243980661
4012016;1326;LINESTRING(11.5244800187 48.1278990424,11.5244800187 48.1278990424);48.1278990424;11.5244800187
4013011;30365;LINESTRING(11.5365797569 48.1491705878,11.5365797569 48.1491705878);48.1491705878;11.5365797569
4013012;30365;LINESTRING(11.5365795904 48.1491682344,11.5365795904 48.1491682344);48.1491682344;11.5365795904
4013013;6509;LINESTRING(11.5367151679 48.149185671,11.5367151679 48.149185671);48.149185671;11.5367151679
4013014;6509;LINESTRING(11.536714374 48.1491757313,11.536714374 48.1491757313);48.1491757313;11.536714374
4013021;7009;LINESTRING(11.5369658695 48.14920621,11.5369658695 48.14920621);48.14920621;11.5369658695
4013022;7009;LINESTRING(11.5369654231 48.1492013023,11.5369654231 48.1492013023);48.1492013023;11.5369654231
4013023;6508;LINESTRING(11.5368328749 48.1492125711,11.5368328749 48.1492125711);48.1492125711;11.5368328749
4013024;6508;LINESTRING(11.5368348966 48.149237808,11.5368348966 48.149237808);48.149237808;11.5368348966
4014011;7003;LINESTRING(11.537570273 48.1596928514,11.537570273 48.1596928514);48.1596928514;11.537570273
4014012;3556;LINESTRING(11.5375422539 48.1596718394,11.5375422539 48.1596718394);48.1596718394;11.5375422539
4014013;3556;LINESTRING(11.5375421773 48.1596704108,11.5375421773 48.1596704108);48.1596704108;11.5375421773
4014014;6503;LINESTRING(11.5374201406 48.1596823734,11.5374201406 48.1596823734);48.1596823734;11.5374201406
4014015;6503;LINESTRING(11.537420292 48.1596843783,11.537420292 48.1596843783);48.1596843783;11.537420292
4014016;6503;LINESTRING(11.5374204488 48.1596864549,11.5374204488 48.1596864549);48.1596864549;11.5374204488
4019011;29732;LINESTRING(11.6047920477 48.2006133906,11.6047920477 48.2006133906);48.2006133906;11.6047920477
4019012;29732;LINESTRING(11.6047995812 48.2006125821,11.6047995812 48.2006125821);48.2006125821;11.6047995812
4019013;34695;LINESTRING(11.6048291295 48.2007091657,11.6048291295 48.2007091657);48.2007091657;11.6048291295
4019014;29732;LINESTRING(11.6048108726 48.2006113704,11.6048108726 48.2006113704);48.2006113704;11.6048108726
4020013;7250;LINESTRING(11.6169056393 48.1552993271,11.6169056393 48.1552993271);48.1552993271;11.6169056393
4020014;7250;LINESTRING(11.6168902735 48.1552829289,11.6168902735 48.1552829289);48.1552829289;11.6168902735
4022011;1195;LINESTRING(11.6572707296 48.1294526244,11.6572707296 48.1294526244);48.1294526244;11.6572707296
4022012;1195;LINESTRING(11.6572832791 48.1294678997,11.6572832791 48.1294678997);48.1294678997;11.6572832791
4025011;33690;LINESTRING(11.5393046089 48.0917992589,11.5393046089 48.0917992589);48.0917992589;11.5393046089
4027011;781;LINESTRING(11.5384883528 48.1713969086,11.5384883528 48.1713969086);48.1713969086;11.5384883528
4027012;781;LINESTRING(11.5384904649 48.1714054569,11.5384904649 48.1714054569);48.1714054569;11.5384904649
4033011;1568;LINESTRING(11.6182067226 48.1380882056,11.6182067226 48.1380882056);48.1380882056;11.6182067226
4033012;1568;LINESTRING(11.6182069048 48.1380882038,11.6182069048 48.1380882038);48.1380882038;11.6182069048
4035011;1535;LINESTRING(11.5741959028 48.1779466182,11.5741959028 48.1779466182);48.1779466182;11.5741959028
4035012;1535;LINESTRING(11.5741816447 48.1779465831,11.5741816447 48.1779465831);48.1779465831;11.5741816447
4035013;7101;LINESTRING(11.5741814412 48.1780286961,11.5741814412 48.1780286961);48.1780286961;11.5741814412
4036011;1539;LINESTRING(11.5834378035 48.1774771013,11.5834378035 48.1774771013);48.1774771013;11.5834378035
4037011;25321;LINESTRING(11.5866458144 48.1774130046,11.5866458144 48.1774130046);48.1774130046;11.5866458144
4037012;25321;LINESTRING(11.5866416605 48.177413512,11.5866416605 48.177413512);48.177413512;11.5866416605
4038011;7140;LINESTRING(11.5872062391 48.1776293522,11.5872062391 48.1776293522);48.1776293522;11.5872062391
4038012;7140;LINESTRING(11.5872079044 48.1776291682,11.5872079044 48.1776291682);48.1776291682;11.5872079044
4039011;5607;LINESTRING(11.5834366259 48.177658105,11.5834366259 48.177658105);48.177658105;11.5834366259
4041011;7100;LINESTRING(11.5745441898 48.1781234495,11.5745441898 48.1781234495);48.1781234495;11.5745441898
4041012;7100;LINESTRING(11.5745440477 48.1781234489,11.5745440477 48.1781234489);48.1781234489;11.5745440477
4041013;7100;LINESTRING(11.5745438899 48.1781234482,11.5745438899 48.1781234482);48.1781234482;11.5745438899
4044011;29583;LINESTRING(11.6693918097 48.139808972,11.6693918097 48.139808972);48.139808972;11.6693918097
4044012;29583;LINESTRING(11.6693918097 48.139808972,11.6693918097 48.139808972);48.139808972;11.6693918097
