,detid,timestamp,flow,vehicleTypeFlow,speed,vehicleTypeSpeed,occupancy_percentage
80,4027012,2024-03-07T20:05:00.000+01:00,345,anyVehicle,0,,0
81,4027013,2024-03-07T20:05:00.000+01:00,293,anyVehicle,0,,0
82,4027021,2024-03-07T20:05:00.000+01:00,143,anyVehicle,0,,0
83,4027022,2024-03-07T20:05:00.000+01:00,262,anyVehicle,0,,0
84,4027023,2024-03-07T20:05:00.000+01:00,138,anyVehicle,0,,0
85,4033011,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
86,4033012,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
87,4035011,2024-03-07T20:05:00.000+01:00,153,anyVehicle,0,,0
88,4035012,2024-03-07T20:05:00.000+01:00,191,anyVehicle,0,,0
89,4035013,2024-03-07T20:05:00.000+01:00,297,anyVehicle,0,,0
90,4036011,2024-03-07T20:05:00.000+01:00,127,anyVehicle,0,,0
91,4037011,2024-03-07T20:05:00.000+01:00,209,anyVehicle,0,,0
92,4037012,2024-03-07T20:05:00.000+01:00,124,anyVehicle,0,,0
93,4037013,2024-03-07T20:05:00.000+01:00,170,anyVehicle,0,,0
94,4038011,2024-03-07T20:05:00.000+01:00,313,anyVehicle,0,,0
95,4038012,2024-03-07T20:05:00.000+01:00,281,anyVehicle,0,,0
96,4039011,2024-03-07T20:05:00.000+01:00,121,anyVehicle,0,,0
97,4041011,2024-03-07T20:05:00.000+01:00,133,anyVehicle,0,,0
98,4041012,2024-03-07T20:05:00.000+01:00,290,anyVehicle,0,,0
99,4041013,2024-03-07T20:05:00.000+01:00,290,anyVehicle,0,,0
100,4044011,2024-03-07T20:05:00.000+01:00,16,anyVehicle,0,,0
101,4044012,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
102,4045011,2024-03-07T20:05:00.000+01:00,16,anyVehicle,0,,0
103,4046011,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
104,4047011,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
105,4047012,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
106,4048011,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
107,4048012,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
108,4049011,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
109,4049012,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
