,detid,timestamp,flow,vehicleTypeFlow,speed,vehicleTypeSpeed,occupancy_percentage
0,4000011,2024-03-09T15:20:00.000+01:00,94,anyVehicle,0,,0
1,4000012,2024-03-09T15:20:00.000+01:00,83,anyVehicle,0,,0
2,4000021,2024-03-09T15:20:00.000+01:00,109,anyVehicle,0,,0
3,4000022,2024-03-09T15:20:00.000+01:00,98,anyVehicle,0,,0
4,4001011,2024-03-09T15:20:00.000+01:00,0,anyVehicle,0,,0
5,4001012,2024-03-09T15:20:00.000+01:00,0,anyVehicle,0,,0
6,4001013,2024-03-09T15:20:00.000+01:00,0,anyVehicle,0,,0
7,4001014,2024-03-09T15:20:00.000+01:00,0,anyVehicle,0,,0
8,4003011,2024-03-09T15:20:00.000+01:00,309,anyVehicle,0,,0
9,4003012,2024-03-09T15:20:00.000+01:00,398,anyVehicle,0,,0
10,4003021,2024-03-09T15:20:00.000+01:00,378,anyVehicle,0,,0
11,4003022,2024-03-09T15:20:00.000+01:00,428,anyVehicle,0,,0
12,4004011,2024-03-09T15:20:00.000+01:00,254,anyVehicle,0,,0
13,4004012,2024-03-09T15:20:00.000+01:00,426,anyVehicle,0,,0
14,4004021,2024-03-09T15:20:00.000+01:00,423,anyVehicle,0,,0
15,4004022,2024-03-09T15:20:00.000+01:00,440,anyVehicle,0,,0
16,4005011,2024-03-09T15:20:00.000+01:00,0,anyVehicle,0,,0
17,4005012,2024-03-09T15:20:00.000+01:00,0,anyVehicle,0,,0
18,4005013,2024-03-09T15:20:00.000+01:00,0,anyVehicle,0,,0
19,4005014,2024-03-09T15:20:00.000+01:00,0,anyVehicle,0,,0
20,4005015,2024-03-09T15:20:00.000+01:00,0,anyVehicle,0,,0
21,4005016,2024-03-09T15:20:00.000+01:00,0,anyVehicle,0,,0
22,4006011,2024-03-09T15:20:00.000+01:00,175,anyVehicle,0,,0
23,4006012,2024-03-09T15:20:00.000+01:00,189,anyVehicle,0,,0
24,4006021,2024-03-09T15:20:00.000+01:00,124,anyVehicle,0,,0
25,4006022,2024-03-09T15:20:00.000+01:00,162,anyVehicle,0,,0
