detid,Unnamed: 0_x,timestamp,flow,vehicleTypeFlow,speed,vehicleTypeSpeed,occupancy_percentage,Unnamed: 0_y,type,location_desc,lat,lon
4007011,26,2023-12-05T17:00:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,100.0,34.0,Doppelschleife,"Moosacher Str.,  ca. 100 m westl. des Anhalter Platzes",48.186646,11.560828
4007012,27,2023-12-05T17:00:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,100.0,35.0,Doppelschleife,"Moosacher Str.,  ca. 100 m westl. des Anhalter Platzes",48.18668,11.560828
4007013,28,2023-12-05T17:00:00.000+01:00,94,anyVehicle,45.36,carOrLightVehicle,7.0,36.0,Doppelschleife,"Moosacher Str.,  ca. 100 m westl. des Anhalter Platzes",48.18679,11.560803
4007014,29,2023-12-05T17:00:00.000+01:00,144,anyVehicle,49.32,carOrLightVehicle,11.0,37.0,Doppelschleife,"Moosacher Str.,  ca. 100 m westl. des Anhalter Platzes",48.186768,11.560803
4007015,30,2023-12-05T17:00:00.000+01:00,56,anyVehicle,54.0,carOrLightVehicle,3.0,38.0,Doppelschleife,"Moosacher Str.,  ca. 100 m westl. des Anhalter Platzes",48.18674,11.560806
4009011,31,2023-12-05T17:00:00.000+01:00,176,anyVehicle,59.4,carOrLightVehicle,6.0,45.0,Doppelschleife,Landshuter Allee  - HÃ¶he Kusocinskidamm,48.18309,11.540322
4009012,32,2023-12-05T17:00:00.000+01:00,160,anyVehicle,63.0,carOrLightVehicle,5.0,46.0,Doppelschleife,Landshuter Allee  - HÃ¶he Kusocinskidamm,48.183083,11.540381
4009021,33,2023-12-05T17:00:00.000+01:00,219,anyVehicle,51.12,carOrLightVehicle,9.0,47.0,Doppelschleife,Landshuter Allee  - HÃ¶he Kusocinskidamm,48.18304,11.540547
4009022,34,2023-12-05T17:00:00.000+01:00,137,anyVehicle,57.24,carOrLightVehicle,5.0,48.0,Doppelschleife,Landshuter Allee  - HÃ¶he Kusocinskidamm,48.183064,11.540488
4010011,35,2023-12-05T17:00:00.000+01:00,132,anyVehicle,40.32,carOrLightVehicle,8.0,49.0,Doppelschleife,Tegernseer Landstr./Waltramstr. (McGraw-Graben),48.106987,11.580435
4010012,36,2023-12-05T17:00:00.000+01:00,213,anyVehicle,33.84,carOrLightVehicle,17.0,50.0,Doppelschleife,Tegernseer Landstr./Waltramstr. (McGraw-Graben),48.106976,11.5803995
4010013,37,2023-12-05T17:00:00.000+01:00,214,anyVehicle,33.12,carOrLightVehicle,20.0,51.0,Doppelschleife,Tegernseer Landstr./Waltramstr. (McGraw-Graben),48.106964,11.580356
4010014,38,2023-12-05T17:00:00.000+01:00,241,anyVehicle,40.32,carOrLightVehicle,16.0,52.0,Doppelschleife,Tegernseer Landstr./Waltramstr. (McGraw-Graben),48.10695,11.580318
4010021,39,2023-12-05T17:00:00.000+01:00,181,anyVehicle,42.84,carOrLightVehicle,10.0,53.0,Doppelschleife,Tegernseer Landstr./Waltramstr. (McGraw-Graben),48.106884,11.580142
4010022,40,2023-12-05T17:00:00.000+01:00,208,anyVehicle,44.64,carOrLightVehicle,11.0,54.0,Doppelschleife,Tegernseer Landstr./Waltramstr. (McGraw-Graben),48.106895,11.58017
4010023,41,2023-12-05T17:00:00.000+01:00,233,anyVehicle,43.92,carOrLightVehicle,14.0,55.0,Doppelschleife,Tegernseer Landstr./Waltramstr. (McGraw-Graben),48.106915,11.580216
4010024,42,2023-12-05T17:00:00.000+01:00,340,anyVehicle,49.32,carOrLightVehicle,16.0,56.0,Doppelschleife,Tegernseer Landstr./Waltramstr. (McGraw-Graben),48.106926,11.58024
4012011,43,2023-12-05T17:00:00.000+01:00,191,anyVehicle,50.4,carOrLightVehicle,12.0,57.0,Doppelschleife,Garmischer Str./Siegenburger Str.,48.127865,11.524555
4012012,44,2023-12-05T17:00:00.000+01:00,299,anyVehicle,48.96,carOrLightVehicle,20.0,58.0,Doppelschleife,Garmischer Str./Siegenburger Str.,48.127884,11.52452
4012013,45,2023-12-05T17:00:00.000+01:00,336,anyVehicle,54.36,carOrLightVehicle,19.0,59.0,Doppelschleife,Garmischer Str./Siegenburger Str.,48.1279,11.524496
4012014,46,2023-12-05T17:00:00.000+01:00,233,anyVehicle,36.36,carOrLightVehicle,21.0,60.0,Doppelschleife,Garmischer Str./Siegenburger Str.,48.12799,11.524388
4012015,47,2023-12-05T17:00:00.000+01:00,354,anyVehicle,32.4,carOrLightVehicle,36.0,61.0,Doppelschleife,Garmischer Str./Siegenburger Str.,48.12797,11.524421
4012016,48,2023-12-05T17:00:00.000+01:00,360,anyVehicle,41.04,carOrLightVehicle,28.0,62.0,Doppelschleife,Garmischer Str./Siegenburger Str.,48.12795,11.524449
4013011,49,2023-12-05T17:00:00.000+01:00,63,anyVehicle,34.2,carOrLightVehicle,4.0,63.0,Doppelschleife,Landshuter Allee/Hirschbergstr.,48.149174,11.536535
4013012,50,2023-12-05T17:00:00.000+01:00,154,anyVehicle,35.64,carOrLightVehicle,9.0,64.0,Doppelschleife,Landshuter Allee/Hirschbergstr.,48.149166,11.53661
4013013,51,2023-12-05T17:00:00.000+01:00,291,anyVehicle,23.04,carOrLightVehicle,27.0,65.0,Doppelschleife,Landshuter Allee/Hirschbergstr.,48.14919,11.5366745
4013014,52,2023-12-05T17:00:00.000+01:00,242,anyVehicle,19.44,carOrLightVehicle,32.0,66.0,Doppelschleife,Landshuter Allee/Hirschbergstr.,48.149174,11.536739
4013021,53,2023-12-05T17:00:00.000+01:00,306,anyVehicle,29.88,carOrLightVehicle,22.0,70.0,Doppelschleife,Landshuter Allee/Hirschbergstr.,48.149197,11.537071
4013022,54,2023-12-05T17:00:00.000+01:00,382,anyVehicle,31.68,carOrLightVehicle,26.0,71.0,Doppelschleife,Landshuter Allee/Hirschbergstr.,48.1492,11.536975
4013023,55,2023-12-05T17:00:00.000+01:00,93,anyVehicle,28.44,carOrLightVehicle,12.0,72.0,Doppelschleife,Landshuter Allee/Hirschbergstr.,48.149208,11.536889
4013024,56,2023-12-05T17:00:00.000+01:00,158,anyVehicle,27.72,carOrLightVehicle,20.0,73.0,Doppelschleife,Landshuter Allee/Hirschbergstr.,48.14924,11.536825
4014011,57,2023-12-05T17:00:00.000+01:00,138,anyVehicle,34.2,carOrLightVehicle,19.0,74.0,Doppelschleife,Landshuter Allee/Dom-Pedro-Str.,48.15967,11.53757
4014012,58,2023-12-05T17:00:00.000+01:00,308,anyVehicle,40.32,carOrLightVehicle,25.0,75.0,Doppelschleife,Landshuter Allee/Dom-Pedro-Str.,48.15967,11.537543
4014013,59,2023-12-05T17:00:00.000+01:00,365,anyVehicle,43.2,carOrLightVehicle,26.0,76.0,Doppelschleife,Landshuter Allee/Dom-Pedro-Str.,48.15967,11.537517
4014014,60,2023-12-05T17:00:00.000+01:00,142,anyVehicle,30.6,carOrLightVehicle,15.0,77.0,Doppelschleife,Landshuter Allee/Dom-Pedro-Str.,48.159683,11.537409
4014015,61,2023-12-05T17:00:00.000+01:00,228,anyVehicle,25.2,carOrLightVehicle,37.0,78.0,Doppelschleife,Landshuter Allee/Dom-Pedro-Str.,48.159683,11.537436
4014016,62,2023-12-05T17:00:00.000+01:00,265,anyVehicle,24.12,carOrLightVehicle,43.0,79.0,Doppelschleife,Landshuter Allee/Dom-Pedro-Str.,48.159683,11.537463
4019011,63,2023-12-05T17:00:00.000+01:00,62,anyVehicle,40.68,carOrLightVehicle,5.0,82.0,Einfachschleife,HeidemannstraÃe,48.20046,11.604775
4019012,64,2023-12-05T17:00:00.000+01:00,38,anyVehicle,43.56,carOrLightVehicle,2.0,83.0,Einfachschleife,HeidemannstraÃe,48.200512,11.604789
4019013,65,2023-12-05T17:00:00.000+01:00,43,anyVehicle,46.44,carOrLightVehicle,3.0,84.0,Einfachschleife,HeidemannstraÃe,48.2007,11.604828
4019014,66,2023-12-05T17:00:00.000+01:00,55,anyVehicle,51.48,carOrLightVehicle,3.0,85.0,Einfachschleife,HeidemannstraÃe,48.200645,11.604815
4020013,67,2023-12-05T17:00:00.000+01:00,75,anyVehicle,24.84,carOrLightVehicle,40.0,88.0,Doppelschleife,Effnerstr.,48.155308,11.616897
4020014,68,2023-12-05T17:00:00.000+01:00,86,anyVehicle,24.84,carOrLightVehicle,22.0,89.0,Doppelschleife,Effnerstr.,48.155315,11.616856
4022011,69,2023-12-05T17:00:00.000+01:00,92,anyVehicle,48.96,carOrLightVehicle,4.0,94.0,Doppelschleife,"Schatzbogen, 30m sÃ¼dl. Heltauer Str.",48.129498,11.657216
4022012,70,2023-12-05T17:00:00.000+01:00,101,anyVehicle,51.84,carOrLightVehicle,4.0,95.0,Doppelschleife,"Schatzbogen, 30m sÃ¼dl. Heltauer Str.",48.12948,11.6572695
4022021,71,2023-12-05T17:00:00.000+01:00,81,anyVehicle,46.8,carOrLightVehicle,4.0,98.0,Doppelschleife,"Schatzbogen, 30m sÃ¼dl. Heltauer Str.",0.0,0.0
4022022,72,2023-12-05T17:00:00.000+01:00,68,anyVehicle,48.96,carOrLightVehicle,3.0,99.0,Doppelschleife,"Schatzbogen, 30m sÃ¼dl. Heltauer Str.",0.0,0.0
4024011,73,2023-12-05T17:00:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,100.0,104.0,Einfachschleife,Stadelheimer Str.,48.100685,11.589469
4024012,74,2023-12-05T17:00:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,100.0,105.0,Einfachschleife,Stadelheimer Str.,48.10071,11.589456
4024013,75,2023-12-05T17:00:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,100.0,106.0,Einfachschleife,Stadelheimer Str.,48.100872,11.589347
4024014,76,2023-12-05T17:00:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,100.0,107.0,Einfachschleife,Stadelheimer Str.,48.100845,11.58936
4025011,77,2023-12-05T17:00:00.000+01:00,163,anyVehicle,36.0,carOrLightVehicle,12.0,108.0,Doppelschleife,"Wolfratshauser Str., nÃ¶rdlich LudwigshÃ¶her Str.",48.091743,11.53938
4025021,78,2023-12-05T17:00:00.000+01:00,156,anyVehicle,37.44,carOrLightVehicle,10.0,109.0,Doppelschleife,"Wolfratshauser Str., nÃ¶rdlich LudwigshÃ¶her Str.",0.0,0.0
4027011,79,2023-12-05T17:00:00.000+01:00,159,anyVehicle,51.48,carOrLightVehicle,6.0,112.0,Doppelschleife,"Landshuter Allee, sÃ¼dl. Georg-Brauchle-Ring, bei HengelstraÃe",48.171394,11.5385
4027012,80,2023-12-05T17:00:00.000+01:00,283,anyVehicle,43.56,carOrLightVehicle,14.0,113.0,Doppelschleife,"Landshuter Allee, sÃ¼dl. Georg-Brauchle-Ring, bei HengelstraÃe",48.171394,11.5385275
4027013,81,2023-12-05T17:00:00.000+01:00,266,anyVehicle,48.96,carOrLightVehicle,11.0,114.0,Doppelschleife,"Landshuter Allee, sÃ¼dl. Georg-Brauchle-Ring, bei HengelstraÃe",0.0,0.0
4027021,82,2023-12-05T17:00:00.000+01:00,179,anyVehicle,52.56,carOrLightVehicle,7.0,115.0,Doppelschleife,"Landshuter Allee, sÃ¼dl. Georg-Brauchle-Ring, bei HengelstraÃe",0.0,0.0
4027022,83,2023-12-05T17:00:00.000+01:00,387,anyVehicle,50.4,carOrLightVehicle,16.0,116.0,Doppelschleife,"Landshuter Allee, sÃ¼dl. Georg-Brauchle-Ring, bei HengelstraÃe",0.0,0.0
4027023,84,2023-12-05T17:00:00.000+01:00,264,anyVehicle,58.68,carOrLightVehicle,9.0,117.0,Doppelschleife,"Landshuter Allee, sÃ¼dl. Georg-Brauchle-Ring, bei HengelstraÃe",0.0,0.0
4033011,85,2023-12-05T17:00:00.000+01:00,34,anyVehicle,43.92,carOrLightVehicle,2.0,132.0,Doppelschleife,"Prinzregentenstrasse, 20m westl. Wagenbauerstr.",48.138115,11.618207
4033012,86,2023-12-05T17:00:00.000+01:00,100,anyVehicle,41.04,carOrLightVehicle,7.0,133.0,Doppelschleife,"Prinzregentenstrasse, 20m westl. Wagenbauerstr.",48.138096,11.618207
4035011,87,2023-12-05T17:00:00.000+01:00,185,anyVehicle,38.16,carOrLightVehicle,10.0,136.0,Doppelschleife,"SÃ¼drÃ¶hre, Rampe Belgradstr. + Hauptfahrbahn,  Block 47 (MQ 2)",48.177963,11.574196
4035012,88,2023-12-05T17:00:00.000+01:00,349,anyVehicle,35.64,carOrLightVehicle,20.0,137.0,Doppelschleife,"SÃ¼drÃ¶hre, Rampe Belgradstr. + Hauptfahrbahn,  Block 47 (MQ 2)",48.177982,11.5741825
4035013,89,2023-12-05T17:00:00.000+01:00,306,anyVehicle,28.8,carOrLightVehicle,24.0,138.0,Doppelschleife,"SÃ¼drÃ¶hre, Rampe Belgradstr. + Hauptfahrbahn,  Block 47 (MQ 2)",48.178017,11.5741825
4036011,90,2023-12-05T17:00:00.000+01:00,151,anyVehicle,35.64,carOrLightVehicle,10.0,139.0,Doppelschleife,"SÃ¼drÃ¶hre Ausfahrt LeopoldstraÃe + Hauptfahrbahn, Block 91 (MQ 3)",48.17752,11.583437
4037011,91,2023-12-05T17:00:00.000+01:00,380,anyVehicle,32.04,carOrLightVehicle,27.0,143.0,Doppelschleife,"SÃ¼drÃ¶hre Ausfahrt BAB A9 + Hauptfahrbahn,  Block 109 (MQ 4)",48.17736,11.586639
4037012,92,2023-12-05T17:00:00.000+01:00,179,anyVehicle,59.04,carOrLightVehicle,6.0,144.0,Doppelschleife,"SÃ¼drÃ¶hre Ausfahrt BAB A9 + Hauptfahrbahn,  Block 109 (MQ 4)",48.177387,11.586638
4037013,93,2023-12-05T17:00:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,0.0,145.0,Doppelschleife,"SÃ¼drÃ¶hre Ausfahrt BAB A9 + Hauptfahrbahn,  Block 109 (MQ 4)",48.1774,11.586638
4038011,94,2023-12-05T17:00:00.000+01:00,332,anyVehicle,37.8,carOrLightVehicle,20.0,146.0,Doppelschleife,"NordrÃ¶hre Hauptfahrbahn, Ostportal  Block 119 (MQ 5)",48.177704,11.587214
4038012,95,2023-12-05T17:00:00.000+01:00,366,anyVehicle,42.12,carOrLightVehicle,18.0,147.0,Doppelschleife,"NordrÃ¶hre Hauptfahrbahn, Ostportal  Block 119 (MQ 5)",48.17769,11.587214
4039011,96,2023-12-05T17:00:00.000+01:00,166,anyVehicle,45.72,carOrLightVehicle,7.0,148.0,Doppelschleife,"NordrÃ¶hre Einfahrt Rampe LeopoldstraÃe, Block 90 (MQ 6)",48.177692,11.583436
4041011,97,2023-12-05T17:00:00.000+01:00,212,anyVehicle,48.6,carOrLightVehicle,9.0,152.0,Doppelschleife,NordrÃ¶hre Hauptfahrbahn + 1 Ausfahrt Knorr-/Belgradstr. Block 48 (MQ 8),48.17818,11.574544
4041012,98,2023-12-05T17:00:00.000+01:00,307,anyVehicle,51.12,carOrLightVehicle,14.0,153.0,Doppelschleife,NordrÃ¶hre Hauptfahrbahn + 1 Ausfahrt Knorr-/Belgradstr. Block 48 (MQ 8),48.178146,11.574544
4041013,99,2023-12-05T17:00:00.000+01:00,361,anyVehicle,55.08,carOrLightVehicle,13.0,154.0,Doppelschleife,NordrÃ¶hre Hauptfahrbahn + 1 Ausfahrt Knorr-/Belgradstr. Block 48 (MQ 8),48.17811,11.574544
4044011,100,2023-12-05T17:00:00.000+01:00,71,anyVehicle,37.8,carOrLightVehicle,9.0,157.0,Doppelschleife,Riemer Str. Haus Nr. 274 (ca. 20m Ã¶stlich Schatzbogen),48.13976,11.669388
