,detid,LZANR,NAME,DET_IND,DET_NAM,dtctr_t,dtctr_l,geometry,lon,lat
28,4006012,,,,,Doppelschleife,lane2,11.570416 48.18742,11.570416,48.18742
29,4006021,,,,,,,11.570299 48.187504,11.570299,48.187504
30,4006022,,,,,,,11.570406 48.187454,11.570406,48.187454
31,4007011,,,,,Doppelschleife,lane1,11.560828 48.186646,11.560828,48.186646
32,4007012,,,,,Doppelschleife,lane2,11.560828 48.18668,11.560828,48.18668
33,4007013,,,,,Doppelschleife,lane1,11.560803 48.18679,11.560803,48.18679
34,4007014,,,,,Doppelschleife,lane2,11.560803 48.186768,11.560803,48.186768
35,4007015,,,,,Doppelschleife,lane3,11.560806 48.18674,11.560806,48.18674
36,4008011,,,,,,,11.544474 48.186142,11.544474,48.186142
37,4008012,,,,,,,11.54446 48.186176,11.54446,48.186176
38,4008013,,,,,,,11.544459 48.186203,11.544459,48.186203
39,4008014,,,,,,,11.544458 48.186314,11.544458,48.186314
40,4008015,,,,,,,11.544459 48.186287,11.544459,48.186287
41,4008016,,,,,,,11.544459 48.18625,11.544459,48.18625
42,4009011,,,,,,,11.540312 48.18308,11.540312,48.18308
43,4009012,,,,,,,11.540386 48.183144,11.540386,48.183144
44,4009021,,,,,,,11.54058 48.183105,11.54058,48.183105
45,4009022,,,,,,,11.540537 48.18304,11.540537,48.18304
46,4010011,,,,,Doppelschleife,lane1,11.580435 48.106987,11.580435,48.106987
47,4010012,,,,,Doppelschleife,lane2,11.5804 48.106976,11.5804,48.106976
48,4010013,,,,,Doppelschleife,lane3,11.580356 48.106964,11.580356,48.106964
49,4010014,,,,,Doppelschleife,lane4,11.580318 48.10695,11.580318,48.10695
50,4010021,,,,,Doppelschleife,lane1,11.580142 48.106884,11.580142,48.106884
51,4010022,,,,,Doppelschleife,lane2,11.58017 48.106895,11.58017,48.106895
52,4010023,,,,,Doppelschleife,lane3,11.580216 48.106915,11.580216,48.106915
53,4010024,,,,,Doppelschleife,lane4,11.58024 48.106926,11.58024,48.106926
54,4012011,,,,,,,11.524555 48.127865,11.524555,48.127865
55,4012012,,,,,,,11.52452 48.127884,11.52452,48.127884
56,4012013,,,,,,,11.524496 48.1279,11.524496,48.1279
57,4012014,,,,,,,11.524388 48.12799,11.524388,48.12799
58,4012015,,,,,,,11.524421 48.12797,11.524421,48.12797
59,4012016,,,,,,,11.524449 48.12795,11.524449,48.12795
60,4013011,,,,,,,11.536535 48.149174,11.536535,48.149174
61,4013012,,,,,,,11.53661 48.149166,11.53661,48.149166
62,4013013,,,,,,,11.536674 48.14919,11.536674,48.14919
63,4013014,,,,,,,11.536739 48.149174,11.536739,48.149174
64,4013015,,,,,,,11.536562 48.149126,11.536562,48.149126
65,4013016,,,,,,,11.536608 48.149122,11.536608,48.149122
66,4013017,,,,,,,11.536686 48.14912,11.536686,48.14912
67,4013021,,,,,,,11.537071 48.149197,11.537071,48.149197
68,4013022,,,,,,,11.536975 48.1492,11.536975,48.1492
69,4013023,,,,,,,11.536889 48.149208,11.536889,48.149208
70,4013024,,,,,,,11.536825 48.14924,11.536825,48.14924
71,4014011,,,,,,,11.53757 48.15967,11.53757,48.15967
72,4014012,,,,,,,11.537543 48.15967,11.537543,48.15967
73,4014013,,,,,,,11.537517 48.15967,11.537517,48.15967
74,4014014,,,,,,,11.537409 48.159683,11.537409,48.159683
75,4014015,,,,,,,11.537436 48.159683,11.537436,48.159683
76,4014016,,,,,,,11.537463 48.159683,11.537463,48.159683
77,4015011,,,,,,,11.538785 48.17263,11.538785,48.17263
78,4016011,,,,,,,11.539121 48.175716,11.539121,48.175716
79,4019011,,,,,,,11.604775 48.20046,11.604775,48.20046
80,4019012,,,,,,,11.604789 48.200512,11.604789,48.200512
81,4019013,,,,,,,11.604828 48.2007,11.604828,48.2007
82,4019014,,,,,,,11.604815 48.200645,11.604815,48.200645
83,4020011,,,,,Doppelschleife,lane2,11.616802 48.155342,11.616802,48.155342
84,4020012,,,,,Doppelschleife,lane3,11.616829 48.155334,11.616829,48.155334
85,4020013,,,,,Doppelschleife,lane2,11.616897 48.155308,11.616897,48.155308
86,4020014,,,,,Doppelschleife,lane3,11.616856 48.155315,11.616856,48.155315
87,4021011,,,,,,,11.621636 48.14864,11.621636,48.14864
88,4021012,,,,,,,11.621623 48.148613,11.621623,48.148613
89,4021013,,,,,,,11.621611 48.14852,11.621611,48.14852
90,4021014,,,,,,,11.62161 48.14856,11.62161,48.14856
91,4022011,,,,,Einfachschleife,lane1,11.657216 48.129498,11.657216,48.129498
92,4022012,,,,,Einfachschleife,lane2,11.65727 48.12948,11.65727,48.12948
93,4022013,,,,,Einfachschleife,lane1,11.657391 48.129444,11.657391,48.129444
94,4022014,,,,,Einfachschleife,lane2,11.657337 48.12946,11.657337,48.12946
95,4023011,,,,,,,11.632987 48.118404,11.632987,48.118404
96,4023012,,,,,,,11.63295 48.118332,11.63295,48.118332
97,4023013,,,,,,,11.632858 48.11816,11.632858,48.11816
98,4023014,,,,,,,11.632912 48.118233,11.632912,48.118233
99,4024011,,,,,,,11.589469 48.100685,11.589469,48.100685
