,detid,LZANR,NAME,DET_IND,DET_NAM,dtctr_t,dtctr_l,geometry,lon,lat
757,10051008,51.0,Boschetsrieder-/ Wolfratshauser Str.,8.0,DV21,LZA-Detektor,,11.540557 48.100677,11.540557,48.100677
758,10051009,51.0,Boschetsrieder-/ Wolfratshauser Str.,9.0,DV41,LZA-Detektor,,11.541168 48.101306,11.541168,48.101306
759,10054001,54.0,Prinzregenten-/ Widenmayerstr.,1.0,D11,LZA-Detektor,,11.593779 48.141935,11.593779,48.141935
760,10054002,54.0,Prinzregenten-/ Widenmayerstr.,2.0,D12,LZA-Detektor,,11.593791 48.141963,11.593791,48.141963
761,10054003,54.0,Prinzregenten-/ Widenmayerstr.,3.0,D21,LZA-Detektor,,11.593893 48.141964,11.593893,48.141964
762,10054004,54.0,Prinzregenten-/ Widenmayerstr.,4.0,D22,LZA-Detektor,,11.593903 48.141993,11.593903,48.141993
763,10054005,54.0,Prinzregenten-/ Widenmayerstr.,5.0,D31,LZA-Detektor,,11.595166 48.141775,11.595166,48.141775
764,10054006,54.0,Prinzregenten-/ Widenmayerstr.,6.0,D32,LZA-Detektor,,11.595154 48.141753,11.595154,48.141753
765,10054007,54.0,Prinzregenten-/ Widenmayerstr.,7.0,D41,LZA-Detektor,,11.594442 48.141558,11.594442,48.141558
766,10054008,54.0,Prinzregenten-/ Widenmayerstr.,8.0,D42,LZA-Detektor,,11.594336 48.14144,11.594336,48.14144
767,10054009,54.0,Prinzregenten-/ Widenmayerstr.,9.0,D43,LZA-Detektor,,11.594302 48.141447,11.594302,48.141447
768,10054010,54.0,Prinzregenten-/ Widenmayerstr.,10.0,D44,LZA-Detektor,,11.594306 48.141576,11.594306,48.141576
769,10055001,55.0,Oettingen-/ Prinzregentenstr.,1.0,D11,LZA-Detektor,,11.59158 48.142387,11.59158,48.142387
770,10055002,55.0,Oettingen-/ Prinzregentenstr.,2.0,D12,LZA-Detektor,,11.59159 48.142407,11.59159,48.142407
771,10055003,55.0,Oettingen-/ Prinzregentenstr.,3.0,D13,LZA-Detektor,,11.591605 48.142429,11.591605,48.142429
772,10055004,55.0,Oettingen-/ Prinzregentenstr.,4.0,D31,LZA-Detektor,,11.592396 48.142745,11.592396,48.142745
773,10055005,55.0,Oettingen-/ Prinzregentenstr.,5.0,D32,LZA-Detektor,,11.592428 48.142739,11.592428,48.142739
774,10055006,55.0,Oettingen-/ Prinzregentenstr.,6.0,D33,LZA-Detektor,,11.592469 48.142728,11.592469,48.142728
775,10055007,55.0,Oettingen-/ Prinzregentenstr.,7.0,D41,LZA-Detektor,,11.592677 48.142296,11.592677,48.142296
776,10055008,55.0,Oettingen-/ Prinzregentenstr.,8.0,D42,LZA-Detektor,,11.592668 48.142272,11.592668,48.142272
777,10055009,55.0,Oettingen-/ Prinzregentenstr.,9.0,D43,LZA-Detektor,,11.59243 48.142286,11.59243,48.142286
778,10056001,56.0,Erhardt-/ Fraunhoferstr.,1.0,D21,LZA-Detektor,,11.576617 48.128126,11.576617,48.128126
779,10056002,56.0,Erhardt-/ Fraunhoferstr.,2.0,D22,LZA-Detektor,,11.576772 48.128171,11.576772,48.128171
780,10056003,56.0,Erhardt-/ Fraunhoferstr.,3.0,D31,LZA-Detektor,,11.576656 48.127644,11.576656,48.127644
781,10056004,56.0,Erhardt-/ Fraunhoferstr.,4.0,D32,LZA-Detektor,,11.576694 48.127588,11.576694,48.127588
782,10056005,56.0,Erhardt-/ Fraunhoferstr.,5.0,D41,LZA-Detektor,,11.575695 48.127509,11.575695,48.127509
783,10056006,56.0,Erhardt-/ Fraunhoferstr.,6.0,D42,LZA-Detektor,,11.575549 48.127485,11.575549,48.127485
784,10056007,56.0,Erhardt-/ Fraunhoferstr.,7.0,D51,LZA-Detektor,,11.575744 48.128199,11.575744,48.128199
785,10056008,56.0,Erhardt-/ Fraunhoferstr.,8.0,D52,LZA-Detektor,,11.575767 48.128218,11.575767,48.128218
786,10056009,56.0,Erhardt-/ Fraunhoferstr.,9.0,D61,LZA-Detektor,,11.576059 48.128118,11.576059,48.128118
787,10056010,56.0,Erhardt-/ Fraunhoferstr.,10.0,D62,LZA-Detektor,,11.576033 48.128088,11.576033,48.128088
788,10058001,58.0,Baldeplatz,1.0,D11,LZA-Detektor,,11.566055 48.123638,11.566055,48.123638
789,10058002,58.0,Baldeplatz,2.0,D12,LZA-Detektor,,11.566074 48.123665,11.566074,48.123665
790,10058003,58.0,Baldeplatz,3.0,D41,LZA-Detektor,,11.567492 48.123968,11.567492,48.123968
791,10058004,58.0,Baldeplatz,4.0,D42,LZA-Detektor,,11.567519 48.123949,11.567519,48.123949
792,10058005,58.0,Baldeplatz,5.0,D71,LZA-Detektor,,11.567736 48.122918,11.567736,48.122918
793,10058006,58.0,Baldeplatz,6.0,D72,LZA-Detektor,,11.567709 48.122913,11.567709,48.122913
794,10058007,58.0,Baldeplatz,7.0,D81,LZA-Detektor,,11.566884 48.122826,11.566884,48.122826
795,10058008,58.0,Baldeplatz,8.0,D82,LZA-Detektor,,11.56686 48.122845,11.56686,48.122845
796,10058009,58.0,Baldeplatz,9.0,D83,LZA-Detektor,,11.566992 48.122958,11.566992,48.122958
797,10059001,59.0,Claude-Lorrain-/ Humboldtstr.,1.0,D11,LZA-Detektor,,11.570899 48.121209,11.570899,48.121209
798,10059002,59.0,Claude-Lorrain-/ Humboldtstr.,2.0,D12,LZA-Detektor,,11.570643 48.121322,11.570643,48.121322
799,10059003,59.0,Claude-Lorrain-/ Humboldtstr.,3.0,D21,LZA-Detektor,,11.571843 48.121364,11.571843,48.121364
800,10059004,59.0,Claude-Lorrain-/ Humboldtstr.,4.0,D22,LZA-Detektor,,11.571789 48.121291,11.571789,48.121291
801,10059005,59.0,Claude-Lorrain-/ Humboldtstr.,5.0,D31,LZA-Detektor,,11.571844 48.120947,11.571844,48.120947
802,10059007,59.0,Claude-Lorrain-/ Humboldtstr.,7.0,D41,LZA-Detektor,,11.571056 48.120841,11.571056,48.120841
803,10059008,59.0,Claude-Lorrain-/ Humboldtstr.,8.0,D42,LZA-Detektor,,11.571178 48.120951,11.571178,48.120951
804,10060001,60.0,Humboldt-/ Pilgersheimer Str.,1.0,D11,LZA-Detektor,,11.575822 48.119344,11.575822,48.119344
805,10060002,60.0,Humboldt-/ Pilgersheimer Str.,2.0,D12,LZA-Detektor,,11.575924 48.119272,11.575924,48.119272
806,10060003,60.0,Humboldt-/ Pilgersheimer Str.,3.0,D13,LZA-Detektor,,11.574862 48.119706,11.574862,48.119706
807,10060004,60.0,Humboldt-/ Pilgersheimer Str.,4.0,D21,LZA-Detektor,,11.57517 48.11916,11.57517,48.11916
808,10060005,60.0,Humboldt-/ Pilgersheimer Str.,5.0,D22,LZA-Detektor,,11.575133 48.11917,11.575133,48.11917
809,10060006,60.0,Humboldt-/ Pilgersheimer Str.,6.0,D31,LZA-Detektor,,11.57484 48.119685,11.57484,48.119685
810,10060007,60.0,Humboldt-/ Pilgersheimer Str.,7.0,D41,LZA-Detektor,,11.575525 48.119799,11.575525,48.119799
811,10060008,60.0,Humboldt-/ Pilgersheimer Str.,8.0,D42,LZA-Detektor,,11.575565 48.119783,11.575565,48.119783
812,10061001,61.0,Kapuziner-/ Pestalozzistr.,1.0,D11,LZA-Detektor,,11.564659 48.124151,11.564659,48.124151
813,10061002,61.0,Kapuziner-/ Pestalozzistr.,2.0,D21,LZA-Detektor,,11.564326 48.124245,11.564326,48.124245
814,10061003,61.0,Kapuziner-/ Pestalozzistr.,3.0,D41,LZA-Detektor,,11.563498 48.124571,11.563498,48.124571
815,10062007,62.0,Freisinger Land-/ Situlistr.,7.0,D11,LZA-Detektor,,11.615714 48.19015,11.615714,48.19015
816,10062008,62.0,Freisinger Land-/ Situlistr.,8.0,D12,LZA-Detektor,,11.615693 48.19017,11.615693,48.19017
817,10062009,62.0,Freisinger Land-/ Situlistr.,9.0,D13,LZA-Detektor,,11.616004 48.190308,11.616004,48.190308
818,10062010,62.0,Freisinger Land-/ Situlistr.,10.0,D21,LZA-Detektor,,11.616159 48.19055,11.616159,48.19055
819,10062011,62.0,Freisinger Land-/ Situlistr.,11.0,D31,LZA-Detektor,,11.617175 48.19064,11.617175,48.19064
820,10062012,62.0,Freisinger Land-/ Situlistr.,12.0,D32,LZA-Detektor,,11.617187 48.190617,11.617187,48.190617
821,10062013,,,,,,,11.616159 48.190285,11.616159,48.190285
822,10063001,63.0,Grillparzer-/ Prinzregentenstr.,1.0,D11,LZA-Detektor,,11.607103 48.139178,11.607103,48.139178
823,10063002,63.0,Grillparzer-/ Prinzregentenstr.,2.0,D12,LZA-Detektor,,11.607119 48.139198,11.607119,48.139198
824,10063003,63.0,Grillparzer-/ Prinzregentenstr.,3.0,D31,LZA-Detektor,,11.608094 48.138958,11.608094,48.138958
825,10063004,63.0,Grillparzer-/ Prinzregentenstr.,4.0,D32,LZA-Detektor,,11.608082 48.138932,11.608082,48.138932
826,10063005,63.0,Grillparzer-/ Prinzregentenstr.,5.0,D41,LZA-Detektor,,11.607807 48.138538,11.607807,48.138538
827,10063006,63.0,Grillparzer-/ Prinzregentenstr.,6.0,D42,LZA-Detektor,,11.607773 48.138539,11.607773,48.138539
828,10065001,65.0,Maximilianstr./ Max II Denkmal,1.0,D31,LZA-Detektor,,11.588152 48.137415,11.588152,48.137415
829,10065002,65.0,Maximilianstr./ Max II Denkmal,2.0,D32,LZA-Detektor,,11.588019 48.137449,11.588019,48.137449
830,10065003,65.0,Maximilianstr./ Max II Denkmal,3.0,D351,LZA-Detektor,,11.588305 48.137476,11.588305,48.137476
831,10066001,66.0,Ludwig-/ Theresienstr.,1.0,D11,LZA-Detektor,,11.579391 48.146281,11.579391,48.146281
832,10066002,66.0,Ludwig-/ Theresienstr.,2.0,D12,LZA-Detektor,,11.579352 48.146288,11.579352,48.146288
833,10066003,66.0,Ludwig-/ Theresienstr.,3.0,D13,LZA-Detektor,,11.579318 48.1463,11.579318,48.1463
834,10066004,66.0,Ludwig-/ Theresienstr.,4.0,D21,LZA-Detektor,,11.579335 48.146417,11.579335,48.146417
835,10066005,66.0,Ludwig-/ Theresienstr.,5.0,D31,LZA-Detektor,,11.57894 48.146957,11.57894,48.146957
836,10066006,66.0,Ludwig-/ Theresienstr.,6.0,D41,LZA-Detektor,,11.579613 48.147265,11.579613,48.147265
837,10066007,66.0,Ludwig-/ Theresienstr.,7.0,D42,LZA-Detektor,,11.579656 48.147257,11.579656,48.147257
838,10066008,66.0,Ludwig-/ Theresienstr.,8.0,D43,LZA-Detektor,,11.5797 48.147251,11.5797,48.147251
839,10067001,67.0,Ludwig-/ Schellingstr.,1.0,D11,LZA-Detektor,,11.580337 48.148493,11.580337,48.148493
840,10068001,68.0,Allgäuer-/ Neurieder Str.,1.0,D21,LZA-Detektor,,11.485618 48.08654,11.485618,48.08654
841,10068009,68.0,Allgäuer-/ Neurieder Str.,9.0,D31,LZA-Detektor,,11.484908 48.086916,11.484908,48.086916
842,10068010,68.0,Allgäuer-/ Neurieder Str.,10.0,D32,LZA-Detektor,,11.484931 48.086952,11.484931,48.086952
843,10069001,69.0,Georgen-/ Leopoldstr.,1.0,D11,LZA-Detektor,,11.582864 48.153703,11.582864,48.153703
844,10069002,69.0,Georgen-/ Leopoldstr.,2.0,D12,LZA-Detektor,,11.582827 48.153707,11.582827,48.153707
845,10069003,69.0,Georgen-/ Leopoldstr.,3.0,D13,LZA-Detektor,,11.5829 48.153949,11.5829,48.153949
846,10069005,69.0,Georgen-/ Leopoldstr.,5.0,D31,LZA-Detektor,,11.58311 48.154532,11.58311,48.154532
847,10069006,69.0,Georgen-/ Leopoldstr.,6.0,D32,LZA-Detektor,,11.583154 48.154522,11.583154,48.154522
848,10070001,70.0,Cornelius-/ Erhardtstr.,1.0,D11,LZA-Detektor,,11.578893 48.129066,11.578893,48.129066
849,10070002,70.0,Cornelius-/ Erhardtstr.,2.0,D12,LZA-Detektor,,11.57876 48.129036,11.57876,48.129036
850,10070003,70.0,Cornelius-/ Erhardtstr.,3.0,D21,LZA-Detektor,,11.578991 48.129513,11.578991,48.129513
851,10070004,70.0,Cornelius-/ Erhardtstr.,4.0,D31,LZA-Detektor,,11.57959 48.129528,11.57959,48.129528
852,10070005,70.0,Cornelius-/ Erhardtstr.,5.0,D32,LZA-Detektor,,11.579732 48.129566,11.579732,48.129566
853,10070006,70.0,Cornelius-/ Erhardtstr.,6.0,D41,LZA-Detektor,,11.579605 48.12947,11.579605,48.12947
854,10070007,70.0,Cornelius-/ Erhardtstr.,7.0,D51,LZA-Detektor,,11.57958 48.129086,11.57958,48.129086
855,10070008,70.0,Cornelius-/ Erhardtstr.,8.0,D52,LZA-Detektor,,11.579546 48.129066,11.579546,48.129066
856,10070009,70.0,Cornelius-/ Erhardtstr.,9.0,D53,LZA-Detektor,,11.579438 48.129158,11.579438,48.129158
857,10071001,71.0,Augusten-/ Briennerstr.,1.0,D11,LZA-Detektor,,11.560764 48.147064,11.560764,48.147064
858,10071002,71.0,Augusten-/ Briennerstr.,2.0,D31,LZA-Detektor,,11.562071 48.146722,11.562071,48.146722
859,10072001,72.0,Luisen-/ Theresienstr.,1.0,D11,LZA-Detektor,,11.566632 48.150104,11.566632,48.150104
860,10072002,72.0,Luisen-/ Theresienstr.,2.0,D21,LZA-Detektor,,11.566961 48.150701,11.566961,48.150701
861,10072004,72.0,Luisen-/ Theresienstr.,4.0,D32,LZA-Detektor,,11.567362 48.150236,11.567362,48.150236
862,10073001,73.0,Gabelsberger-/ Luisenstr.,1.0,D11,LZA-Detektor,,11.565414 48.148167,11.565414,48.148167
863,10073002,73.0,Gabelsberger-/ Luisenstr.,2.0,D12,LZA-Detektor,,11.565302 48.148061,11.565302,48.148061
864,10073003,73.0,Gabelsberger-/ Luisenstr.,3.0,D31,LZA-Detektor,,11.56553 48.148474,11.56553,48.148474
865,10073004,73.0,Gabelsberger-/ Luisenstr.,4.0,D32,LZA-Detektor,,11.565649 48.148659,11.565649,48.148659
866,10074001,74.0,Brienner-/ Luisenstr.,1.0,D11,LZA-Detektor,,11.563694 48.145595,11.563694,48.145595
867,10074002,74.0,Brienner-/ Luisenstr.,2.0,D21,LZA-Detektor,,11.563479 48.146258,11.563479,48.146258
868,10074003,74.0,Brienner-/ Luisenstr.,3.0,D22,LZA-Detektor,,11.563503 48.146286,11.563503,48.146286
869,10074004,74.0,Brienner-/ Luisenstr.,4.0,D31,LZA-Detektor,,11.564422 48.14677,11.564422,48.14677
870,10074005,74.0,Brienner-/ Luisenstr.,5.0,D41,LZA-Detektor,,11.564634 48.14629,11.564634,48.14629
871,10074006,74.0,Brienner-/ Luisenstr.,6.0,D42,LZA-Detektor,,11.564615 48.146267,11.564615,48.146267
872,10074007,74.0,Brienner-/ Luisenstr.,7.0,D51,LZA-Detektor,,11.563952 48.146193,11.563952,48.146193
873,10074008,74.0,Brienner-/ Luisenstr.,8.0,D61,LZA-Detektor,,11.564017 48.146193,11.564017,48.146193
874,10074009,74.0,Brienner-/ Luisenstr.,9.0,D71,LZA-Detektor,,11.563782 48.145845,11.563782,48.145845
875,10075001,75.0,Karl-/ Luisenstr.,1.0,D11,LZA-Detektor,,11.562572 48.143864,11.562572,48.143864
876,10075002,75.0,Karl-/ Luisenstr.,2.0,D12,LZA-Detektor,,11.562591 48.143955,11.562591,48.143955
877,10075003,75.0,Karl-/ Luisenstr.,3.0,D21,LZA-Detektor,,11.562166 48.144333,11.562166,48.144333
878,10075004,75.0,Karl-/ Luisenstr.,4.0,D31,LZA-Detektor,,11.562909 48.144524,11.562909,48.144524
879,10075005,75.0,Karl-/ Luisenstr.,5.0,D32,LZA-Detektor,,11.562889 48.144432,11.562889,48.144432
880,10075006,75.0,Karl-/ Luisenstr.,6.0,D41,LZA-Detektor,,11.563291 48.144028,11.563291,48.144028
881,10076001,76.0,Elisen-/ Luisenstr.,1.0,D11,LZA-Detektor,,11.561397 48.141509,11.561397,48.141509
882,10076002,76.0,Elisen-/ Luisenstr.,2.0,D12,LZA-Detektor,,11.56136 48.141507,11.56136,48.141507
883,10076004,76.0,Elisen-/ Luisenstr.,4.0,D22,LZA-Detektor,,11.560788 48.142255,11.560788,48.142255
884,10076005,76.0,Elisen-/ Luisenstr.,5.0,D23,LZA-Detektor,,11.560815 48.142282,11.560815,48.142282
885,10076006,76.0,Elisen-/ Luisenstr.,6.0,D31,LZA-Detektor,,11.561198 48.142164,11.561198,48.142164
886,10076007,76.0,Elisen-/ Luisenstr.,7.0,D41,LZA-Detektor,,11.561688 48.142548,11.561688,48.142548
887,10076008,76.0,Elisen-/ Luisenstr.,8.0,D42,LZA-Detektor,,11.561723 48.142543,11.561723,48.142543
888,10076009,76.0,Elisen-/ Luisenstr.,9.0,D51,LZA-Detektor,,11.562136 48.141872,11.562136,48.141872
889,10076010,76.0,Elisen-/ Luisenstr.,10.0,D52,LZA-Detektor,,11.562116 48.141851,11.562116,48.141851
890,10076011,76.0,Elisen-/ Luisenstr.,11.0,D61,LZA-Detektor,,11.561745 48.141963,11.561745,48.141963
891,10076012,76.0,Elisen-/ Luisenstr.,12.0,D81,LZA-Detektor,,11.561413 48.141855,11.561413,48.141855
892,10077001,77.0,Dachauer-/ Lothstr.,1.0,D21,LZA-Detektor,,11.553428 48.154051,11.553428,48.154051
893,10077002,77.0,Dachauer-/ Lothstr.,2.0,D31,LZA-Detektor,,11.553276 48.154556,11.553276,48.154556
894,10077003,77.0,Dachauer-/ Lothstr.,3.0,D32,LZA-Detektor,,11.553242 48.154622,11.553242,48.154622
895,10077004,77.0,Dachauer-/ Lothstr.,4.0,D41,LZA-Detektor,,11.554286 48.154538,11.554286,48.154538
896,10077005,77.0,Dachauer-/ Lothstr.,5.0,D42,LZA-Detektor,,11.554323 48.154526,11.554323,48.154526
897,10077006,77.0,Dachauer-/ Lothstr.,6.0,D51,LZA-Detektor,,11.555052 48.153446,11.555052,48.153446
898,10077007,77.0,Dachauer-/ Lothstr.,7.0,D52,LZA-Detektor,,11.555009 48.153408,11.555009,48.153408
899,10077008,77.0,Dachauer-/ Lothstr.,8.0,D53,LZA-Detektor,,11.553318 48.154755,11.553318,48.154755
900,10078001,78.0,Einstein-/ Grillparzerstr.,1.0,D11,LZA-Detektor,,11.608516 48.136048,11.608516,48.136048
901,10078002,78.0,Einstein-/ Grillparzerstr.,2.0,D12,LZA-Detektor,,11.608503 48.136072,11.608503,48.136072
902,10078003,78.0,Einstein-/ Grillparzerstr.,3.0,D21,LZA-Detektor,,11.608725 48.136164,11.608725,48.136164
903,10078004,78.0,Einstein-/ Grillparzerstr.,4.0,D31,LZA-Detektor,,11.608862 48.136607,11.608862,48.136607
904,10078005,78.0,Einstein-/ Grillparzerstr.,5.0,D32,LZA-Detektor,,11.608896 48.13661,11.608896,48.13661
905,10078006,78.0,Einstein-/ Grillparzerstr.,6.0,D41,LZA-Detektor,,11.609809 48.136524,11.609809,48.136524
906,10078007,78.0,Einstein-/ Grillparzerstr.,7.0,D51,LZA-Detektor,,11.609468 48.136456,11.609468,48.136456
907,10078008,78.0,Einstein-/ Grillparzerstr.,8.0,D341,LZA-Detektor,,11.60983 48.136442,11.60983,48.136442
908,10078009,78.0,Einstein-/ Grillparzerstr.,9.0,D61,LZA-Detektor,,11.609592 48.135832,11.609592,48.135832
909,10078010,78.0,Einstein-/ Grillparzerstr.,10.0,D62,LZA-Detektor,,11.609552 48.135826,11.609552,48.135826
910,10078011,78.0,Einstein-/ Grillparzerstr.,11.0,D361,LZA-Detektor,,11.609476 48.135823,11.609476,48.135823
911,10079001,79.0,Ismaninger-/ Prinzregentenstr.,1.0,D11,LZA-Detektor,,11.599577 48.140774,11.599577,48.140774
912,10079002,79.0,Ismaninger-/ Prinzregentenstr.,2.0,D12,LZA-Detektor,,11.599591 48.1408,11.599591,48.1408
913,10079003,79.0,Ismaninger-/ Prinzregentenstr.,3.0,D21,LZA-Detektor,,11.60013 48.140858,11.60013,48.140858
914,10079004,79.0,Ismaninger-/ Prinzregentenstr.,4.0,D22,LZA-Detektor,,11.600343 48.14108,11.600343,48.14108
915,10079005,79.0,Ismaninger-/ Prinzregentenstr.,5.0,D31,LZA-Detektor,,11.600696 48.14063,11.600696,48.14063
916,10079006,79.0,Ismaninger-/ Prinzregentenstr.,6.0,D32,LZA-Detektor,,11.600683 48.140606,11.600683,48.140606
917,10079007,79.0,Ismaninger-/ Prinzregentenstr.,7.0,D41,LZA-Detektor,,11.600056 48.14055,11.600056,48.14055
918,10079008,79.0,Ismaninger-/ Prinzregentenstr.,8.0,D42,LZA-Detektor,,11.599874 48.140312,11.599874,48.140312
919,10080001,80.0,Dietlinden-/ Ungererstr.,1.0,D11,LZA-Detektor,,11.589958 48.16617,11.589958,48.16617
920,10080002,80.0,Dietlinden-/ Ungererstr.,2.0,D12,LZA-Detektor,,11.589924 48.166182,11.589924,48.166182
921,10080003,80.0,Dietlinden-/ Ungererstr.,3.0,D21,LZA-Detektor,,11.589851 48.166793,11.589851,48.166793
922,10080004,80.0,Dietlinden-/ Ungererstr.,4.0,D22,LZA-Detektor,,11.589873 48.166809,11.589873,48.166809
923,10080005,80.0,Dietlinden-/ Ungererstr.,5.0,D31,LZA-Detektor,,11.590645 48.167026,11.590645,48.167026
924,10080006,80.0,Dietlinden-/ Ungererstr.,6.0,D32,LZA-Detektor,,11.590693 48.167004,11.590693,48.167004
925,10080007,80.0,Dietlinden-/ Ungererstr.,7.0,D33,LZA-Detektor,,11.590451 48.166773,11.590451,48.166773
926,10080008,80.0,Dietlinden-/ Ungererstr.,8.0,D41,LZA-Detektor,,11.590867 48.166364,11.590867,48.166364
927,10080009,80.0,Dietlinden-/ Ungererstr.,9.0,D42,LZA-Detektor,,11.590549 48.166483,11.590549,48.166483
928,10081001,81.0,Fasangarten-/ Unterhachinger Str.,1.0,D11,LZA-Detektor,,11.62549 48.095809,11.62549,48.095809
929,10081002,81.0,Fasangarten-/ Unterhachinger Str.,2.0,D21,LZA-Detektor,,11.625358 48.096221,11.625358,48.096221
930,10081003,81.0,Fasangarten-/ Unterhachinger Str.,3.0,D22,LZA-Detektor,,11.625021 48.096117,11.625021,48.096117
931,10081004,81.0,Fasangarten-/ Unterhachinger Str.,4.0,D31,LZA-Detektor,,11.625555 48.096786,11.625555,48.096786
932,10081005,81.0,Fasangarten-/ Unterhachinger Str.,5.0,D41,LZA-Detektor,,11.625833 48.096371,11.625833,48.096371
933,10081006,81.0,Fasangarten-/ Unterhachinger Str.,6.0,D42,LZA-Detektor,,11.626142 48.096423,11.626142,48.096423
934,10081009,81.0,Fasangarten-/ Unterhachinger Str.,9.0,D53,LZA-Detektor,,11.625482 48.096404,11.625482,48.096404
935,10083001,83.0,Anzinger-/ Rosenheimer Str.,1.0,D11,LZA-Detektor,,11.606819 48.120446,11.606819,48.120446
936,10083002,83.0,Anzinger-/ Rosenheimer Str.,2.0,D12,LZA-Detektor,,11.606947 48.120324,11.606947,48.120324
937,10083003,83.0,Anzinger-/ Rosenheimer Str.,3.0,D21,LZA-Detektor,,11.606643 48.120495,11.606643,48.120495
938,10083005,83.0,Anzinger-/ Rosenheimer Str.,5.0,D32,LZA-Detektor,,11.605359 48.120535,11.605359,48.120535
939,10083006,83.0,Anzinger-/ Rosenheimer Str.,6.0,D33,LZA-Detektor,,11.60535 48.120563,11.60535,48.120563
940,10083012,83.0,Anzinger-/ Rosenheimer Str.,12.0,D51,LZA-Detektor,,11.605386 48.121174,11.605386,48.121174
941,10083013,83.0,Anzinger-/ Rosenheimer Str.,13.0,D52,LZA-Detektor,,11.605418 48.121185,11.605418,48.121185
942,10083014,83.0,Anzinger-/ Rosenheimer Str.,14.0,D61,LZA-Detektor,,11.605655 48.121042,11.605655,48.121042
943,10083016,83.0,Anzinger-/ Rosenheimer Str.,16.0,D72,LZA-Detektor,,11.606846 48.120954,11.606846,48.120954
944,10083017,83.0,Anzinger-/ Rosenheimer Str.,17.0,D73,LZA-Detektor,,11.606858 48.120924,11.606858,48.120924
945,10083019,83.0,Anzinger-/ Rosenheimer Str.,19.0,DV71,LZA-Detektor,,11.606742 48.120797,11.606742,48.120797
946,10083020,83.0,Anzinger-/ Rosenheimer Str.,20.0,DV72,LZA-Detektor,,11.606726 48.120828,11.606726,48.120828
947,10083044,83.0,Anzinger-/ Rosenheimer Str.,44.0,DV51,LZA-Detektor,,11.605921 48.121128,11.605921,48.121128
948,10083045,83.0,Anzinger-/ Rosenheimer Str.,45.0,DV52,LZA-Detektor,,11.605882 48.121115,11.605882,48.121115
949,10084001,84.0,Theodolindenplatz,1.0,D11,LZA-Detektor,,11.556707 48.090196,11.556707,48.090196
950,10084002,84.0,Theodolindenplatz,2.0,D12,LZA-Detektor,,11.556667 48.090206,11.556667,48.090206
951,10084004,84.0,Theodolindenplatz,4.0,D31,LZA-Detektor,,11.556396 48.090512,11.556396,48.090512
952,10084005,84.0,Theodolindenplatz,5.0,D51,LZA-Detektor,,11.55734 48.09071,11.55734,48.09071
953,10084006,84.0,Theodolindenplatz,6.0,D61,LZA-Detektor,,11.55736 48.090684,11.55736,48.090684
954,10084012,84.0,Theodolindenplatz,12.0,D411,LZA-Detektor,,11.557156 48.090453,11.557156,48.090453
955,10084013,84.0,Theodolindenplatz,13.0,D421,LZA-Detektor,,11.557747 48.090712,11.557747,48.090712
956,10085001,85.0,Lerchenfeld-/ Prinzregentenstr.,1.0,D11,LZA-Detektor,,11.587929 48.14313,11.587929,48.14313
957,10085002,85.0,Lerchenfeld-/ Prinzregentenstr.,2.0,D12,LZA-Detektor,,11.587807 48.143179,11.587807,48.143179
958,10085003,85.0,Lerchenfeld-/ Prinzregentenstr.,3.0,D13,LZA-Detektor,,11.587818 48.143206,11.587818,48.143206
959,10085004,85.0,Lerchenfeld-/ Prinzregentenstr.,4.0,D21,LZA-Detektor,,11.589097 48.143024,11.589097,48.143024
960,10085005,85.0,Lerchenfeld-/ Prinzregentenstr.,5.0,D22,LZA-Detektor,,11.589132 48.142986,11.589132,48.142986
961,10085006,85.0,Lerchenfeld-/ Prinzregentenstr.,6.0,D23,LZA-Detektor,,11.58912 48.142962,11.58912,48.142962
962,10086001,86.0,Fraunhofer-/ Müllerstr.,1.0,D11,LZA-Detektor,,11.570974 48.13107,11.570974,48.13107
963,10086002,86.0,Fraunhofer-/ Müllerstr.,2.0,D21,LZA-Detektor,,11.571186 48.131587,11.571186,48.131587
964,10086003,86.0,Fraunhofer-/ Müllerstr.,3.0,D22,LZA-Detektor,,11.571209 48.131607,11.571209,48.131607
965,10086004,86.0,Fraunhofer-/ Müllerstr.,4.0,D31,LZA-Detektor,,11.572212 48.131708,11.572212,48.131708
966,10086005,86.0,Fraunhofer-/ Müllerstr.,5.0,D32,LZA-Detektor,,11.572187 48.131728,11.572187,48.131728
967,10086006,86.0,Fraunhofer-/ Müllerstr.,6.0,D41,LZA-Detektor,,11.571921 48.131126,11.571921,48.131126
968,10086007,86.0,Fraunhofer-/ Müllerstr.,7.0,D42,LZA-Detektor,,11.571982 48.131029,11.571982,48.131029
969,10086020,86.0,Fraunhofer-/ Müllerstr.,20.0,D33,LZA-Detektor,,11.571086 48.131173,11.571086,48.131173
970,10087001,87.0,Hohenzollern-/ Leopoldstr.,1.0,D11,LZA-Detektor,,11.58528 48.158832,11.58528,48.158832
971,10087002,87.0,Hohenzollern-/ Leopoldstr.,2.0,D12,LZA-Detektor,,11.585236 48.15884,11.585236,48.15884
972,10087003,87.0,Hohenzollern-/ Leopoldstr.,3.0,D13,LZA-Detektor,,11.585255 48.15897,11.585255,48.15897
973,10087004,87.0,Hohenzollern-/ Leopoldstr.,4.0,D21,LZA-Detektor,,11.585582 48.159748,11.585582,48.159748
