,detid,type,location_desc,lat,lon
43,4008015,Doppelschleife,"Moosacher str.,   ca. 100 m westl. Eingang Knorr-Bremse",48.186287,11.544459
44,4008016,Doppelschleife,"Moosacher str.,   ca. 100 m westl. Eingang Knorr-Bremse",48.18625,11.544459
45,4009011,Doppelschleife,Landshuter Allee  - H̦he Kusocinskidamm,48.18309,11.540322
46,4009012,Doppelschleife,Landshuter Allee  - H̦he Kusocinskidamm,48.183083,11.540381
47,4009021,Doppelschleife,Landshuter Allee  - H̦he Kusocinskidamm,48.18304,11.540547
48,4009022,Doppelschleife,Landshuter Allee  - H̦he Kusocinskidamm,48.183064,11.540488
49,4010011,Doppelschleife,Tegernseer Landstr./Waltramstr. (McGraw-Graben),48.106987,11.580435
50,4010012,Doppelschleife,Tegernseer Landstr./Waltramstr. (McGraw-Graben),48.106976,11.5803995
51,4010013,Doppelschleife,Tegernseer Landstr./Waltramstr. (McGraw-Graben),48.106964,11.580356
52,4010014,Doppelschleife,Tegernseer Landstr./Waltramstr. (McGraw-Graben),48.10695,11.580318
53,4010021,Doppelschleife,Tegernseer Landstr./Waltramstr. (McGraw-Graben),48.106884,11.580142
54,4010022,Doppelschleife,Tegernseer Landstr./Waltramstr. (McGraw-Graben),48.106895,11.58017
55,4010023,Doppelschleife,Tegernseer Landstr./Waltramstr. (McGraw-Graben),48.106915,11.580216
56,4010024,Doppelschleife,Tegernseer Landstr./Waltramstr. (McGraw-Graben),48.106926,11.58024
57,4012011,Doppelschleife,Garmischer Str./Siegenburger Str.,48.127865,11.524555
58,4012012,Doppelschleife,Garmischer Str./Siegenburger Str.,48.127884,11.52452
59,4012013,Doppelschleife,Garmischer Str./Siegenburger Str.,48.1279,11.524496
60,4012014,Doppelschleife,Garmischer Str./Siegenburger Str.,48.12799,11.524388
61,4012015,Doppelschleife,Garmischer Str./Siegenburger Str.,48.12797,11.524421
62,4012016,Doppelschleife,Garmischer Str./Siegenburger Str.,48.12795,11.524449
63,4013011,Doppelschleife,Landshuter Allee/Hirschbergstr.,48.149174,11.536535
64,4013012,Doppelschleife,Landshuter Allee/Hirschbergstr.,48.149166,11.53661
65,4013013,Doppelschleife,Landshuter Allee/Hirschbergstr.,48.14919,11.5366745
66,4013014,Doppelschleife,Landshuter Allee/Hirschbergstr.,48.149174,11.536739
67,4013015,Doppelschleife,Landshuter Allee/Hirschbergstr.,,
68,4013016,Doppelschleife,Landshuter Allee/Hirschbergstr.,,
69,4013017,Doppelschleife,Landshuter Allee/Hirschbergstr.,,
70,4013021,Doppelschleife,Landshuter Allee/Hirschbergstr.,48.149197,11.537071
71,4013022,Doppelschleife,Landshuter Allee/Hirschbergstr.,48.1492,11.536975
72,4013023,Doppelschleife,Landshuter Allee/Hirschbergstr.,48.149208,11.536889
73,4013024,Doppelschleife,Landshuter Allee/Hirschbergstr.,48.14924,11.536825
74,4014011,Doppelschleife,Landshuter Allee/Dom-Pedro-Str.,48.15967,11.53757
75,4014012,Doppelschleife,Landshuter Allee/Dom-Pedro-Str.,48.15967,11.537543
76,4014013,Doppelschleife,Landshuter Allee/Dom-Pedro-Str.,48.15967,11.537517
77,4014014,Doppelschleife,Landshuter Allee/Dom-Pedro-Str.,48.159683,11.537409
78,4014015,Doppelschleife,Landshuter Allee/Dom-Pedro-Str.,48.159683,11.537436
79,4014016,Doppelschleife,Landshuter Allee/Dom-Pedro-Str.,48.159683,11.537463
80,4015011,Doppelschleife,Olympiaknoten Videodetektion 1,48.17263,11.538785
