,detid,timestamp,flow,vehicleTypeFlow,speed,vehicleTypeSpeed,occupancy_percentage
60,4014014,2023-11-30T19:00:00.000+01:00,154,anyVehicle,25.92,carOrLightVehicle,20.0
61,4014015,2023-11-30T19:00:00.000+01:00,220,anyVehicle,16.92,carOrLightVehicle,43.0
62,4014016,2023-11-30T19:00:00.000+01:00,227,anyVehicle,16.56,carOrLightVehicle,49.0
63,4019011,2023-11-30T19:00:00.000+01:00,31,anyVehicle,33.48,carOrLightVehicle,3.0
64,4019012,2023-11-30T19:00:00.000+01:00,25,anyVehicle,41.76,carOrLightVehicle,2.0
65,4019013,2023-11-30T19:00:00.000+01:00,45,anyVehicle,48.24,carOrLightVehicle,3.0
66,4019014,2023-11-30T19:00:00.000+01:00,49,anyVehicle,51.84,carOrLightVehicle,2.0
67,4020013,2023-11-30T19:00:00.000+01:00,93,anyVehicle,32.76,carOrLightVehicle,16.0
68,4020014,2023-11-30T19:00:00.000+01:00,106,anyVehicle,32.04,carOrLightVehicle,17.0
69,4022011,2023-11-30T19:00:00.000+01:00,89,anyVehicle,41.04,carOrLightVehicle,5.0
70,4022012,2023-11-30T19:00:00.000+01:00,70,anyVehicle,43.92,carOrLightVehicle,3.0
71,4022021,2023-11-30T19:00:00.000+01:00,74,anyVehicle,33.12,carOrLightVehicle,6.0
72,4022022,2023-11-30T19:00:00.000+01:00,49,anyVehicle,37.44,carOrLightVehicle,3.0
73,4024011,2023-11-30T19:00:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,100.0
74,4024012,2023-11-30T19:00:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,100.0
75,4024013,2023-11-30T19:00:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,100.0
76,4024014,2023-11-30T19:00:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,100.0
77,4025011,2023-11-30T19:00:00.000+01:00,139,anyVehicle,37.44,carOrLightVehicle,8.0
78,4025021,2023-11-30T19:00:00.000+01:00,134,anyVehicle,31.32,carOrLightVehicle,9.0
79,4027011,2023-11-30T19:00:00.000+01:00,216,anyVehicle,39.96,carOrLightVehicle,11.0
80,4027012,2023-11-30T19:00:00.000+01:00,231,anyVehicle,19.08,carOrLightVehicle,29.0
81,4027013,2023-11-30T19:00:00.000+01:00,210,anyVehicle,20.52,carOrLightVehicle,27.0
82,4027021,2023-11-30T19:00:00.000+01:00,152,anyVehicle,52.56,carOrLightVehicle,6.0
83,4027022,2023-11-30T19:00:00.000+01:00,323,anyVehicle,51.84,carOrLightVehicle,13.0
84,4027023,2023-11-30T19:00:00.000+01:00,183,anyVehicle,60.48,carOrLightVehicle,6.0
85,4033011,2023-11-30T19:00:00.000+01:00,58,anyVehicle,41.4,carOrLightVehicle,4.0
86,4033012,2023-11-30T19:00:00.000+01:00,65,anyVehicle,39.96,carOrLightVehicle,5.0
87,4035011,2023-11-30T19:00:00.000+01:00,180,anyVehicle,30.96,carOrLightVehicle,11.0
88,4035012,2023-11-30T19:00:00.000+01:00,252,anyVehicle,22.32,carOrLightVehicle,24.0
89,4035013,2023-11-30T19:00:00.000+01:00,137,anyVehicle,15.84,carOrLightVehicle,19.0
90,4036011,2023-11-30T19:00:00.000+01:00,150,anyVehicle,37.08,carOrLightVehicle,8.0
91,4037011,2023-11-30T19:00:00.000+01:00,284,anyVehicle,46.44,carOrLightVehicle,13.0
92,4037012,2023-11-30T19:00:00.000+01:00,4,anyVehicle,10.44,carOrLightVehicle,1.0
93,4037013,2023-11-30T19:00:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,0.0
94,4038011,2023-11-30T19:00:00.000+01:00,311,anyVehicle,28.8,carOrLightVehicle,23.0
95,4038012,2023-11-30T19:00:00.000+01:00,371,anyVehicle,31.68,carOrLightVehicle,24.0
96,4039011,2023-11-30T19:00:00.000+01:00,167,anyVehicle,41.76,carOrLightVehicle,8.0
97,4041011,2023-11-30T19:00:00.000+01:00,179,anyVehicle,35.28,carOrLightVehicle,11.0
98,4041012,2023-11-30T19:00:00.000+01:00,307,anyVehicle,27.36,carOrLightVehicle,25.0
99,4041013,2023-11-30T19:00:00.000+01:00,346,anyVehicle,28.44,carOrLightVehicle,27.0
100,4044011,2023-11-30T19:00:00.000+01:00,25,anyVehicle,37.8,carOrLightVehicle,2.0
101,4044012,2023-11-30T19:00:00.000+01:00,62,anyVehicle,36.36,carOrLightVehicle,6.0
102,4045011,2023-11-30T19:00:00.000+01:00,44,anyVehicle,33.48,carOrLightVehicle,4.0
103,4046011,2023-11-30T19:00:00.000+01:00,53,anyVehicle,37.08,carOrLightVehicle,5.0
104,4047011,2023-11-30T19:00:00.000+01:00,21,anyVehicle,37.8,carOrLightVehicle,2.0
105,4047012,2023-11-30T19:00:00.000+01:00,18,anyVehicle,47.16,carOrLightVehicle,1.0
106,4048011,2023-11-30T19:00:00.000+01:00,48,anyVehicle,38.16,carOrLightVehicle,4.0
107,4048012,2023-11-30T19:00:00.000+01:00,90,anyVehicle,41.4,carOrLightVehicle,8.0
108,4049011,2023-11-30T19:00:00.000+01:00,34,anyVehicle,38.52,carOrLightVehicle,3.0
109,4049012,2023-11-30T19:00:00.000+01:00,60,anyVehicle,34.92,carOrLightVehicle,6.0
110,4050011,2023-11-30T19:00:00.000+01:00,78,anyVehicle,39.96,carOrLightVehicle,6.0
111,4050012,2023-11-30T19:00:00.000+01:00,43,anyVehicle,40.68,carOrLightVehicle,3.0
112,4051011,2023-11-30T19:00:00.000+01:00,49,anyVehicle,36.72,carOrLightVehicle,5.0
113,4051012,2023-11-30T19:00:00.000+01:00,56,anyVehicle,41.04,carOrLightVehicle,6.0
114,4054011,2023-11-30T19:00:00.000+01:00,61,anyVehicle,33.84,carOrLightVehicle,7.0
115,4054012,2023-11-30T19:00:00.000+01:00,47,anyVehicle,38.16,carOrLightVehicle,4.0
116,4055011,2023-11-30T19:00:00.000+01:00,18,anyVehicle,43.56,carOrLightVehicle,1.0
117,4055012,2023-11-30T19:00:00.000+01:00,14,anyVehicle,48.96,carOrLightVehicle,1.0
118,4059011,2023-11-30T19:00:00.000+01:00,18,anyVehicle,43.2,carOrLightVehicle,1.0
119,4059012,2023-11-30T19:00:00.000+01:00,23,anyVehicle,42.84,carOrLightVehicle,1.0
120,4059013,2023-11-30T19:00:00.000+01:00,31,anyVehicle,41.04,carOrLightVehicle,2.0
121,4060011,2023-11-30T19:00:00.000+01:00,56,anyVehicle,35.28,carOrLightVehicle,6.0
122,4060012,2023-11-30T19:00:00.000+01:00,75,anyVehicle,41.04,carOrLightVehicle,5.0
123,4061011,2023-11-30T19:00:00.000+01:00,75,anyVehicle,26.64,carOrLightVehicle,17.0
124,4061012,2023-11-30T19:00:00.000+01:00,91,anyVehicle,28.08,carOrLightVehicle,12.0
125,4063011,2023-11-30T19:00:00.000+01:00,60,anyVehicle,33.12,carOrLightVehicle,6.0
126,4063012,2023-11-30T19:00:00.000+01:00,62,anyVehicle,31.32,carOrLightVehicle,7.0
127,4066011,2023-11-30T19:00:00.000+01:00,47,anyVehicle,39.96,carOrLightVehicle,4.0
128,4066012,2023-11-30T19:00:00.000+01:00,44,anyVehicle,41.04,carOrLightVehicle,3.0
129,4070011,2023-11-30T19:00:00.000+01:00,37,anyVehicle,42.12,carOrLightVehicle,3.0
130,4070012,2023-11-30T19:00:00.000+01:00,30,anyVehicle,46.8,carOrLightVehicle,2.0
131,4071011,2023-11-30T19:00:00.000+01:00,68,anyVehicle,47.16,carOrLightVehicle,5.0
132,4071012,2023-11-30T19:00:00.000+01:00,15,anyVehicle,47.16,carOrLightVehicle,1.0
133,4072011,2023-11-30T19:00:00.000+01:00,109,anyVehicle,29.52,carOrLightVehicle,13.0
134,4072012,2023-11-30T19:00:00.000+01:00,83,anyVehicle,30.96,carOrLightVehicle,9.0
135,4073011,2023-11-30T19:00:00.000+01:00,4,anyVehicle,18.72,carOrLightVehicle,1.0
136,4073012,2023-11-30T19:00:00.000+01:00,2,anyVehicle,24.12,carOrLightVehicle,0.0
137,4075011,2023-11-30T19:00:00.000+01:00,61,anyVehicle,30.96,carOrLightVehicle,7.0
138,4077011,2023-11-30T19:00:00.000+01:00,50,anyVehicle,38.52,carOrLightVehicle,6.0
139,4077012,2023-11-30T19:00:00.000+01:00,45,anyVehicle,36.36,carOrLightVehicle,4.0
140,4081011,2023-11-30T19:00:00.000+01:00,42,anyVehicle,30.6,carOrLightVehicle,4.0
141,4081012,2023-11-30T19:00:00.000+01:00,43,anyVehicle,33.48,carOrLightVehicle,4.0
142,4083011,2023-11-30T19:00:00.000+01:00,92,anyVehicle,26.64,carOrLightVehicle,14.0
143,4087011,2023-11-30T19:00:00.000+01:00,51,anyVehicle,40.68,carOrLightVehicle,4.0
144,4087012,2023-11-30T19:00:00.000+01:00,51,anyVehicle,41.04,carOrLightVehicle,3.0
145,4088011,2023-11-30T19:00:00.000+01:00,44,anyVehicle,31.32,carOrLightVehicle,5.0
146,4089011,2023-11-30T19:00:00.000+01:00,61,anyVehicle,36.72,carOrLightVehicle,6.0
147,4091011,2023-11-30T19:00:00.000+01:00,98,anyVehicle,36.36,carOrLightVehicle,8.0
148,4093011,2023-11-30T19:00:00.000+01:00,57,anyVehicle,41.4,carOrLightVehicle,4.0
149,4097011,2023-11-30T19:00:00.000+01:00,197,anyVehicle,55.44,carOrLightVehicle,7.0
150,4097012,2023-11-30T19:00:00.000+01:00,297,anyVehicle,52.2,carOrLightVehicle,12.0
151,4097013,2023-11-30T19:00:00.000+01:00,320,anyVehicle,54.36,carOrLightVehicle,11.0
152,4097021,2023-11-30T19:00:00.000+01:00,237,anyVehicle,35.64,carOrLightVehicle,14.0
153,4097022,2023-11-30T19:00:00.000+01:00,201,anyVehicle,13.68,carOrLightVehicle,36.0
154,4097023,2023-11-30T19:00:00.000+01:00,182,anyVehicle,16.92,carOrLightVehicle,30.0
155,4099011,2023-11-30T19:00:00.000+01:00,112,anyVehicle,37.44,carOrLightVehicle,8.0
156,4099012,2023-11-30T19:00:00.000+01:00,154,anyVehicle,30.96,carOrLightVehicle,16.0
157,4099013,2023-11-30T19:00:00.000+01:00,167,anyVehicle,27.72,carOrLightVehicle,21.0
158,4100011,2023-11-30T19:00:00.000+01:00,209,anyVehicle,47.16,carOrLightVehicle,10.0
159,4100012,2023-11-30T19:00:00.000+01:00,186,anyVehicle,52.92,carOrLightVehicle,7.0
160,4100021,2023-11-30T19:00:00.000+01:00,193,anyVehicle,54.72,carOrLightVehicle,7.0
161,4100022,2023-11-30T19:00:00.000+01:00,220,anyVehicle,57.24,carOrLightVehicle,8.0
162,4100031,2023-11-30T19:00:00.000+01:00,95,anyVehicle,55.44,carOrLightVehicle,3.0
163,4100032,2023-11-30T19:00:00.000+01:00,43,anyVehicle,53.64,carOrLightVehicle,1.0
164,4101011,2023-11-30T19:00:00.000+01:00,225,anyVehicle,50.04,carOrLightVehicle,10.0
165,4101012,2023-11-30T19:00:00.000+01:00,212,anyVehicle,52.92,carOrLightVehicle,8.0
166,4102011,2023-11-30T19:00:00.000+01:00,46,anyVehicle,55.44,carOrLightVehicle,1.0
167,4102012,2023-11-30T19:00:00.000+01:00,274,anyVehicle,52.56,carOrLightVehicle,11.0
168,4102013,2023-11-30T19:00:00.000+01:00,250,anyVehicle,55.8,carOrLightVehicle,9.0
169,4102021,2023-11-30T19:00:00.000+01:00,366,anyVehicle,41.76,carOrLightVehicle,19.0
170,4102022,2023-11-30T19:00:00.000+01:00,353,anyVehicle,45.36,carOrLightVehicle,17.0
171,4103011,2023-11-30T19:00:00.000+01:00,11,anyVehicle,57.24,carOrLightVehicle,0.0
172,4103012,2023-11-30T19:00:00.000+01:00,296,anyVehicle,45.0,carOrLightVehicle,14.0
173,4103013,2023-11-30T19:00:00.000+01:00,338,anyVehicle,48.6,carOrLightVehicle,14.0
174,4104011,2023-11-30T19:00:00.000+01:00,189,anyVehicle,42.48,carOrLightVehicle,9.0
175,4104012,2023-11-30T19:00:00.000+01:00,244,anyVehicle,46.44,carOrLightVehicle,11.0
176,4105011,2023-11-30T19:00:00.000+01:00,214,anyVehicle,53.64,carOrLightVehicle,7.0
177,4105012,2023-11-30T19:00:00.000+01:00,338,anyVehicle,56.16,carOrLightVehicle,11.0
178,4106011,2023-11-30T19:00:00.000+01:00,134,anyVehicle,42.48,carOrLightVehicle,7.0
179,4106021,2023-11-30T19:00:00.000+01:00,171,anyVehicle,46.44,carOrLightVehicle,8.0
180,4107011,2023-11-30T19:00:00.000+01:00,135,anyVehicle,52.56,carOrLightVehicle,5.0
181,4107012,2023-11-30T19:00:00.000+01:00,93,anyVehicle,57.6,carOrLightVehicle,3.0
182,4107021,2023-11-30T19:00:00.000+01:00,207,anyVehicle,46.44,carOrLightVehicle,9.0
183,4107022,2023-11-30T19:00:00.000+01:00,196,anyVehicle,51.48,carOrLightVehicle,7.0
