,detid,timestamp,flow,vehicleTypeFlow,speed,vehicleTypeSpeed,occupancy_percentage
0,4000011,2023-12-05T17:15:00.000+01:00,121,anyVehicle,42.12,carOrLightVehicle,6.0
1,4000012,2023-12-05T17:15:00.000+01:00,103,anyVehicle,45.36,carOrLightVehicle,4.0
2,4000021,2023-12-05T17:15:00.000+01:00,172,anyVehicle,37.44,carOrLightVehicle,10.0
3,4000022,2023-12-05T17:15:00.000+01:00,96,anyVehicle,32.76,carOrLightVehicle,8.0
4,4001011,2023-12-05T17:15:00.000+01:00,114,anyVehicle,52.2,carOrLightVehicle,6.0
5,4001012,2023-12-05T17:15:00.000+01:00,160,anyVehicle,50.04,carOrLightVehicle,9.0
6,4001013,2023-12-05T17:15:00.000+01:00,101,anyVehicle,46.08,carOrLightVehicle,7.0
7,4001014,2023-12-05T17:15:00.000+01:00,84,anyVehicle,0.0,carOrLightVehicle,6.0
8,4003011,2023-12-05T17:15:00.000+01:00,327,anyVehicle,38.52,carOrLightVehicle,20.0
9,4003012,2023-12-05T17:15:00.000+01:00,384,anyVehicle,43.2,carOrLightVehicle,18.0
10,4003021,2023-12-05T17:15:00.000+01:00,294,anyVehicle,46.44,carOrLightVehicle,13.0
11,4003022,2023-12-05T17:15:00.000+01:00,324,anyVehicle,51.48,carOrLightVehicle,13.0
12,4004011,2023-12-05T17:15:00.000+01:00,258,anyVehicle,21.96,carOrLightVehicle,27.0
13,4004012,2023-12-05T17:15:00.000+01:00,367,anyVehicle,23.4,carOrLightVehicle,33.0
14,4004021,2023-12-05T17:15:00.000+01:00,313,anyVehicle,32.04,carOrLightVehicle,24.0
15,4004022,2023-12-05T17:15:00.000+01:00,360,anyVehicle,36.0,carOrLightVehicle,24.0
16,4005011,2023-12-05T17:15:00.000+01:00,194,anyVehicle,42.84,carOrLightVehicle,13.0
17,4005012,2023-12-05T17:15:00.000+01:00,272,anyVehicle,41.4,carOrLightVehicle,20.0
18,4005013,2023-12-05T17:15:00.000+01:00,243,anyVehicle,45.72,carOrLightVehicle,15.0
19,4005014,2023-12-05T17:15:00.000+01:00,71,anyVehicle,46.44,carOrLightVehicle,4.0
20,4005015,2023-12-05T17:15:00.000+01:00,213,anyVehicle,49.68,carOrLightVehicle,12.0
21,4005016,2023-12-05T17:15:00.000+01:00,269,anyVehicle,51.48,carOrLightVehicle,14.0
22,4006011,2023-12-05T17:15:00.000+01:00,128,anyVehicle,43.2,carOrLightVehicle,7.0
