coordinate_id,distance_to_road,road_id,geom,origin_junction_id,origin_destination_id,road_key,kilometers,travel_time
0,38.34151493384897,"RoadId(start=472179, end=472181, key=0)","LINESTRING (1286822.7229741726 6135982.8136404175, 1286813.6949634692 6136002.2110117795, 1286806.6373077529 6136017.385061848, 1286784.751895863 6136056.914506716, 1286782.0134363892 6136063.257931254, 1286765.9166380207 6136102.904441124, 1286753.626966237 6136134.855488399, 1286750.2651176152 6136143.385803848, 1286736.6618758403 6136173.9180593435)",472179,472181,0,0.13977499999999998,10.1
1,1535.3099441670463,"RoadId(start=21118777, end=429609936, key=0)","LINESTRING (1292891.071243837 6132322.18817995, 1292880.2621212811 6132326.910300894, 1292869.965068383 6132333.434507613, 1292860.9704535266 6132341.760804228, 1292756.8644657368 6132438.539996162, 1292702.1064082158 6132482.174420662, 1292650.654539571 6132519.167909997, 1292604.3901591972 6132547.317776446)",21118777,429609936,0,0.24385099999999998,17.6
2,1535.0441155612727,"RoadId(start=21118777, end=429609936, key=0)","LINESTRING (1292891.071243837 6132322.18817995, 1292880.2621212811 6132326.910300894, 1292869.965068383 6132333.434507613, 1292860.9704535266 6132341.760804228, 1292756.8644657368 6132438.539996162, 1292702.1064082158 6132482.174420662, 1292650.654539571 6132519.167909997, 1292604.3901591972 6132547.317776446)",21118777,429609936,0,0.24385099999999998,17.6
3,1534.0564822495835,"RoadId(start=21118777, end=429609936, key=0)","LINESTRING (1292891.071243837 6132322.18817995, 1292880.2621212811 6132326.910300894, 1292869.965068383 6132333.434507613, 1292860.9704535266 6132341.760804228, 1292756.8644657368 6132438.539996162, 1292702.1064082158 6132482.174420662, 1292650.654539571 6132519.167909997, 1292604.3901591972 6132547.317776446)",21118777,429609936,0,0.24385099999999998,17.6
4,1533.8261379896212,"RoadId(start=21118777, end=429609936, key=0)","LINESTRING (1292891.071243837 6132322.18817995, 1292880.2621212811 6132326.910300894, 1292869.965068383 6132333.434507613, 1292860.9704535266 6132341.760804228, 1292756.8644657368 6132438.539996162, 1292702.1064082158 6132482.174420662, 1292650.654539571 6132519.167909997, 1292604.3901591972 6132547.317776446)",21118777,429609936,0,0.24385099999999998,17.6
5,999.0296197681151,"RoadId(start=1578742478, end=2382884, key=0)","LINESTRING (1292818.3684844002 6138509.9669060055, 1292811.2774328366 6138487.391237326, 1292802.6947000963 6138464.999305259, 1292787.210158927 6138427.378987554, 1292769.566019636 6138390.059395057, 1292758.5008622515 6138361.990493353, 1292745.1981831016 6138333.971776695, 1292727.3759326255 6138299.507879168, 1292709.5202863023 6138265.211095681, 1292667.942456491 6138195.265452562, 1292634.535477304 6138142.869210229, 1292592.4121819877 6138085.213677595, 1292532.5779556865 6138009.692697308, 1292479.901572643 6137951.637336025, 1292428.3161206094 6137900.211000407, 1292390.9795633974 6137866.516900032, 1292361.7693290133 6137840.6369823925, 1292327.1489673767 6137812.887118948, 1292316.128337788 6137803.603791215, 1292295.200273519 6137786.807004403, 1292273.459576967 6137771.012044097, 1292260.5353840857 6137761.678672165, 1292230.6127049606 6137741.509273489, 1292207.0686326579 6137726.231987423, 1292184.3260606888 6137712.240354823, 1292162.1512181228 6137698.966691103, 1292138.9633681905 6137685.54278043, 1292115.864573851 6137672.770049153, 1292092.164654261 6137660.331263812, 1292068.7764292455 6137648.293208237, 1292044.3863288125 6137636.455525163, 1292020.2522632086 6137624.884998855, 1291996.6080033642 6137614.1659971, 1291972.2846946258 6137604.131554354, 1291909.5227657165 6137579.320986029, 1291835.3951167974 6137554.844412391, 1291776.852196589 6137538.0815060325, 1291715.8713795324 6137520.767662121, 1291671.2322637243 6137506.642797085, 1291624.1218552208 6137489.713025029, 1291585.2379570864 6137473.267469842, 1291537.6600067215 6137450.878191194, 1291498.575733504 6137430.442390676, 1291457.320730216 6137406.634076777, 1291411.3123846713 6137378.384746767, 1291359.0033559473 6137341.620687424, 1291293.6588148517 6137288.895759002, 1291243.843342722 6137242.849364622, 1291187.4377567368 6137183.446876629, 1291149.9008244413 6137140.639943041, 1291116.0708311894 6137097.265585195, 1291071.1534166543 6137039.199718162, 1291026.8148634713 6136976.79354125, 1290995.3448434242 6136931.9842502745, 1290838.039270984 6136687.50728785, 1290774.2532027597 6136582.232757346, 1290711.5691974938 6136473.90451378)",1578742478,2382884,0,2.0233870000000005,104.1
6,1006.0446312922003,"RoadId(start=1578742478, end=2382884, key=0)","LINESTRING (1292818.3684844002 6138509.9669060055, 1292811.2774328366 6138487.391237326, 1292802.6947000963 6138464.999305259, 1292787.210158927 6138427.378987554, 1292769.566019636 6138390.059395057, 1292758.5008622515 6138361.990493353, 1292745.1981831016 6138333.971776695, 1292727.3759326255 6138299.507879168, 1292709.5202863023 6138265.211095681, 1292667.942456491 6138195.265452562, 1292634.535477304 6138142.869210229, 1292592.4121819877 6138085.213677595, 1292532.5779556865 6138009.692697308, 1292479.901572643 6137951.637336025, 1292428.3161206094 6137900.211000407, 1292390.9795633974 6137866.516900032, 1292361.7693290133 6137840.6369823925, 1292327.1489673767 6137812.887118948, 1292316.128337788 6137803.603791215, 1292295.200273519 6137786.807004403, 1292273.459576967 6137771.012044097, 1292260.5353840857 6137761.678672165, 1292230.6127049606 6137741.509273489, 1292207.0686326579 6137726.231987423, 1292184.3260606888 6137712.240354823, 1292162.1512181228 6137698.966691103, 1292138.9633681905 6137685.54278043, 1292115.864573851 6137672.770049153, 1292092.164654261 6137660.331263812, 1292068.7764292455 6137648.293208237, 1292044.3863288125 6137636.455525163, 1292020.2522632086 6137624.884998855, 1291996.6080033642 6137614.1659971, 1291972.2846946258 6137604.131554354, 1291909.5227657165 6137579.320986029, 1291835.3951167974 6137554.844412391, 1291776.852196589 6137538.0815060325, 1291715.8713795324 6137520.767662121, 1291671.2322637243 6137506.642797085, 1291624.1218552208 6137489.713025029, 1291585.2379570864 6137473.267469842, 1291537.6600067215 6137450.878191194, 1291498.575733504 6137430.442390676, 1291457.320730216 6137406.634076777, 1291411.3123846713 6137378.384746767, 1291359.0033559473 6137341.620687424, 1291293.6588148517 6137288.895759002, 1291243.843342722 6137242.849364622, 1291187.4377567368 6137183.446876629, 1291149.9008244413 6137140.639943041, 1291116.0708311894 6137097.265585195, 1291071.1534166543 6137039.199718162, 1291026.8148634713 6136976.79354125, 1290995.3448434242 6136931.9842502745, 1290838.039270984 6136687.50728785, 1290774.2532027597 6136582.232757346, 1290711.5691974938 6136473.90451378)",1578742478,2382884,0,2.0233870000000005,104.1
7,1026.7381464873024,"RoadId(start=1578742478, end=2382884, key=0)","LINESTRING (1292818.3684844002 6138509.9669060055, 1292811.2774328366 6138487.391237326, 1292802.6947000963 6138464.999305259, 1292787.210158927 6138427.378987554, 1292769.566019636 6138390.059395057, 1292758.5008622515 6138361.990493353, 1292745.1981831016 6138333.971776695, 1292727.3759326255 6138299.507879168, 1292709.5202863023 6138265.211095681, 1292667.942456491 6138195.265452562, 1292634.535477304 6138142.869210229, 1292592.4121819877 6138085.213677595, 1292532.5779556865 6138009.692697308, 1292479.901572643 6137951.637336025, 1292428.3161206094 6137900.211000407, 1292390.9795633974 6137866.516900032, 1292361.7693290133 6137840.6369823925, 1292327.1489673767 6137812.887118948, 1292316.128337788 6137803.603791215, 1292295.200273519 6137786.807004403, 1292273.459576967 6137771.012044097, 1292260.5353840857 6137761.678672165, 1292230.6127049606 6137741.509273489, 1292207.0686326579 6137726.231987423, 1292184.3260606888 6137712.240354823, 1292162.1512181228 6137698.966691103, 1292138.9633681905 6137685.54278043, 1292115.864573851 6137672.770049153, 1292092.164654261 6137660.331263812, 1292068.7764292455 6137648.293208237, 1292044.3863288125 6137636.455525163, 1292020.2522632086 6137624.884998855, 1291996.6080033642 6137614.1659971, 1291972.2846946258 6137604.131554354, 1291909.5227657165 6137579.320986029, 1291835.3951167974 6137554.844412391, 1291776.852196589 6137538.0815060325, 1291715.8713795324 6137520.767662121, 1291671.2322637243 6137506.642797085, 1291624.1218552208 6137489.713025029, 1291585.2379570864 6137473.267469842, 1291537.6600067215 6137450.878191194, 1291498.575733504 6137430.442390676, 1291457.320730216 6137406.634076777, 1291411.3123846713 6137378.384746767, 1291359.0033559473 6137341.620687424, 1291293.6588148517 6137288.895759002, 1291243.843342722 6137242.849364622, 1291187.4377567368 6137183.446876629, 1291149.9008244413 6137140.639943041, 1291116.0708311894 6137097.265585195, 1291071.1534166543 6137039.199718162, 1291026.8148634713 6136976.79354125, 1290995.3448434242 6136931.9842502745, 1290838.039270984 6136687.50728785, 1290774.2532027597 6136582.232757346, 1290711.5691974938 6136473.90451378)",1578742478,2382884,0,2.0233870000000005,104.1
8,1020.0950673510196,"RoadId(start=1578742478, end=2382884, key=0)","LINESTRING (1292818.3684844002 6138509.9669060055, 1292811.2774328366 6138487.391237326, 1292802.6947000963 6138464.999305259, 1292787.210158927 6138427.378987554, 1292769.566019636 6138390.059395057, 1292758.5008622515 6138361.990493353, 1292745.1981831016 6138333.971776695, 1292727.3759326255 6138299.507879168, 1292709.5202863023 6138265.211095681, 1292667.942456491 6138195.265452562, 1292634.535477304 6138142.869210229, 1292592.4121819877 6138085.213677595, 1292532.5779556865 6138009.692697308, 1292479.901572643 6137951.637336025, 1292428.3161206094 6137900.211000407, 1292390.9795633974 6137866.516900032, 1292361.7693290133 6137840.6369823925, 1292327.1489673767 6137812.887118948, 1292316.128337788 6137803.603791215, 1292295.200273519 6137786.807004403, 1292273.459576967 6137771.012044097, 1292260.5353840857 6137761.678672165, 1292230.6127049606 6137741.509273489, 1292207.0686326579 6137726.231987423, 1292184.3260606888 6137712.240354823, 1292162.1512181228 6137698.966691103, 1292138.9633681905 6137685.54278043, 1292115.864573851 6137672.770049153, 1292092.164654261 6137660.331263812, 1292068.7764292455 6137648.293208237, 1292044.3863288125 6137636.455525163, 1292020.2522632086 6137624.884998855, 1291996.6080033642 6137614.1659971, 1291972.2846946258 6137604.131554354, 1291909.5227657165 6137579.320986029, 1291835.3951167974 6137554.844412391, 1291776.852196589 6137538.0815060325, 1291715.8713795324 6137520.767662121, 1291671.2322637243 6137506.642797085, 1291624.1218552208 6137489.713025029, 1291585.2379570864 6137473.267469842, 1291537.6600067215 6137450.878191194, 1291498.575733504 6137430.442390676, 1291457.320730216 6137406.634076777, 1291411.3123846713 6137378.384746767, 1291359.0033559473 6137341.620687424, 1291293.6588148517 6137288.895759002, 1291243.843342722 6137242.849364622, 1291187.4377567368 6137183.446876629, 1291149.9008244413 6137140.639943041, 1291116.0708311894 6137097.265585195, 1291071.1534166543 6137039.199718162, 1291026.8148634713 6136976.79354125, 1290995.3448434242 6136931.9842502745, 1290838.039270984 6136687.50728785, 1290774.2532027597 6136582.232757346, 1290711.5691974938 6136473.90451378)",1578742478,2382884,0,2.0233870000000005,104.1
9,408.91590517971684,"RoadId(start=33840511, end=235496893, key=0)","LINESTRING (1288276.0879820716 6137825.2927327, 1288290.9825299394 6137825.259339369, 1288322.6974528665 6137824.407809454, 1288349.85940862 6137822.771536524, 1288409.2928847545 6137819.515688258, 1288446.5515183231 6137817.261640185, 1288502.1667359234 6137814.72374973, 1288526.0558986475 6137813.204355146, 1288559.1511832604 6137811.568084358, 1288564.2718798371 6137814.239547029, 1288568.0122147277 6137821.719646948, 1288572.843480628 6137901.296293258, 1288573.2108349476 6137975.680923633, 1288563.2811363689 6137988.0867733825, 1288557.2142241208 6137991.359382776, 1288554.5202924435 6137991.292594816, 1288533.8148671559 6137990.7248971835, 1288511.7847399279 6137990.040320676, 1288497.9699911205 6137989.58950203, 1288468.5816455511 6137988.337228138, 1288438.5587788841 6137987.936500532, 1288421.693876029 6137987.602560875, 1288407.4449812076 6137987.018166506, 1288395.9679417065 6137986.61743896, 1288377.622489624 6137985.732499032, 1288348.590366425 6137984.9477410605, 1288317.2205339195 6137984.296558967, 1288283.5909157507 6137983.328134408, 1288268.9524027114 6137983.712164824)",33840511,235496893,0,0.5080370000000001,61.0
